nama_tempat,tahun,jumlah_kunjungan
taman_impian_ancol,2020,4512892
dufan_ancol,2020,685837
samudra_ancol,2020,284358
atlantis_ancol,2020,163049
seaworld_ancol,2020,275266
taman_impian_ancol,2021,3524422
dufan_ancol,2021,600643
samudra_ancol,2021,250695
atlantis_ancol,2021,6170
seaworld_ancol,2021,245467
taman_impian_ancol,2022,7805349
dufan_ancol,2022,1938217
samudra_ancol,2022,995203
atlantis_ancol,2022,253067
seaworld_ancol,2022,984618
taman_impian_ancol,2023,11144860
dufan_ancol,2023,2238160
samudra_ancol,2023,1473275
atlantis_ancol,2023,657135
seaworld_ancol,2023,1335082
taman_impian_ancol,2024,9983344
dufan_ancol,2024,2208884
samudra_ancol,2024,1245793
atlantis_ancol,2024,516883
seaworld_ancol,2024,1129920
