review_text,review_rating
tempat nya cukup lama untuk maintenance lebih bisa ditingkatkan lagi,3
makanan minuman gak boleh masuk kamera boleh masuk air nya bersih,5
bagus bgt,5
kesini karena rumah dekat terakhir kesini boleh bawa tiker tapi peraturan sekarang tidak boleh bawa tikar jadi tikarnya di titip di penitipan tapi pas pulang kami lupa mengambilnya overall lumayan mungkin buat tempat bilasnya lebih diperhatikan lagi dan juga kebersihannya,4
tempat seru untuk ngajak keluarga berenang bermain bersama fasilitas nya banyak perosotan nya banyak bervariasi masuk ke semua umur dari anak sampai dewasa terimakasih,5
pakai annual pass jadi worth banget bisa tiap bulan berenang ngajak anak udah happy banget,5
the worst waterpark in the world the worker scammed us by saying we need to rent the float in order to ride some of the slides surprisingly none of the slides require the float we return the float mins late and asked for the deposit back in return for the worker has been misguidedscammed us we went to the management and did the complained regarding the issues unfortunately we have been ignored overall this is the worst experience ever for our family,1
tempat yang masih jadi pav sejak saya kecil sampe sdh punya anak tp ya tidak ada yang spesial kec paket anualpass,4
fun,5
ok,5
suka banget main ke atlantis ini pertama kalinya ajak anak ku ke waterpark biasanya renang di hotel atau swimming pool kecil selalu suka sama kebersihan atlantis dr area duduknya ruang ganti nya toiletnya semua bersih favorit ku kolam arus ombak insyaallah bakal balik lagi utk bikin annual pass,5
memori yg tak terlupakan,5
tempat berenang favorit bersama keluarga pakai annual pass lebih hemat,5
swimmiing daayy fasilitas lengkap makan minum murah ada loker toilet bilas bersih mushola jg ada apalagi wahananya banyak ada kolam ombak kolam busa seluncuran ember tumpah kolam arus aaahh anak betaah mamak masukangin haha,5
seruuu bgt kolamnya banyak mushola ada kalo ga salah tempat bilas juga banyak ga terlalu ngantri karna weekday anak betah berenang dr pagi sampe sore wkwk,5
sangat cocok utk rekreasi keluarga dan anak,5
slides are nice but what they dont tell you is in addition to the k idr atlantis ticket you need to pay k idr at the entrance of the ancol park atlantis opens at am but the first slide really opens at pm so not many things to do during hours,2
good fun experience with my friends but very expensive had to pay for almost everything like borrowing pelampung and renting lockers too expensive tickets for entry and waterpark itself is expensive place is unkept looks old,3
air kotor lingkungan sedikit kotor tempat sampah jarang atlantis ini harus sering di renovasi agar wisatawan sekain banyak,3
ch,1
biasa aja,1
caur penjaganya liat orang yg lain bawa makanan boleh giliran kita di sita makanan nya harus nya lebih adil nyesel saya masuk,1
bawa uang tunai untuk membayar loker karena mereka tidak menerima metode pembayaran lainnya di dalam anda dapat membayar makanan dan minuman dengan qr,5
