review_text,review_rating
seruuuyy bangettt,5
masih sama di ancol tempat ramah anakya walau tetep parkir harus sigap dan cepathehehe jangan lupa bawa tikarmakanan dan airbaju ganti dan alat mandiagar lebih memudahkan dan irit,5
seruuu buangeett klo dr permainannya bagus aku sukaa pertama kali naik korakora rasanya kyk mau mati tp okelah gamau naik lagi temenku main arum jerang basah kuyup banget ahahahah makanan nya okelah kecuali roti onya aku pesen yg rotieskrim vanilla coklat kan yg vanila enak lah tp yg coklatnya aseeeemmm banget aneh bgt rasanya agak nyesel beli yg campur bonekanya lucu tp aku kismin jd ga beli,5
tempat bermain keluarga banyak tempat baru beberapa di upgarde tapi kondisi kolamnya kotor kotor,5
tempat higienis menu cukup komplit makanan sunda untuk rasa enak harga relatif murah atau sesuai lah parkiran luas mushola ada pelayanan sangat ramah kekeluargaan kalo pulang dari pandeglang lumayan sering mampir kesini saranuntuk lebih menarik lampu kelapkeliplampu hias malam nya diperbanyak dan dihias seunik dan sesemarak mungkin menurut saya rumah makan ini recommended,4
seharian di dufan ancol healinghappyteriak bareng bestie wahananya bikin jantung mau copot tapi seru banget definitely a core memory apa lgi sma ice agenya seru bgt,5
wahana perlu ditambah lagi,4
menyenangkan my wife ku sampe kelelahan,5
senin jan main di dufan fasttrak per org jatuhnya rb tapi jaket anak sy ketinggalan langsung lapor ke layanan costumer care mll wa sudah sy jelaskan ketinggalannya di panggung musik di atas sound sistem dekat wahana ontang anting jam lapor ditanggapi dg wa doang tapi gak diambil atau dicari katanya suruh tunggu sampai jam malam akhirnya sy ke dufan lagi sebelum balik jogja dan jaket masih di atas sound sistem artinya layanan costumer care nya abal abal tidak bertindak sama sekali omong doang bohong besar gak bisa dipercaya tolong petugas sore itu tanggal itu diberi pelatihan kerja gak bener,1
emg kalo kesini hrs sabar dan ga bs sehari kelar nyobain semua wahana kalo pas ada promo atau hari libur kalo bawa bocil ga bnyk tmpt wahana yg bs dicobain kecuali udh tinggi minimal cm,5
luv que was murder hours in line for each ride,5
masa katanya makanan nya di simpan ternyata udah di buang sam kotak nya juga,1
seruuuuuuuu tapi wahana bikin gue muntah dan puyeng abis wkwk,4
goid place for healing with family but you have to wait for long at weekend,5
seru banget main di dufan tapi pas kemarin kesan histeria nya lagi diperbaiki jadi ga bisa naik histeria,5
permainan di sanaa sangattt seruu,5
ayo ajak keluarga dan teman utk rasakan keseruan di dufan,5
banyak wahana permainan yang menyenangkan,5
main disana seru bgttt minusnya masa aku beli tiket gerbang masuk kali dihari yg sama temenku udah beliin tiket masuk buat aku terus kata mba nya tinggal scan barcode nya aja pas aku scan katanya kadaluarsa terus mba ya bilang tiketnya kadaluarsa ka itu tgl berapa pada baru dibeli beberapa menit yg lalu terus saya jelasin dan ditanyain jwb nya coba minta pdf nya ga ada pdf yg dikasi waktu beli tiketnya endingnya saya beli tiket lagi dan sampe skrg masih mempertanyakan knp bisa kayak gitu,3
weekend penuh pengumjung,5
for such a small theme park there are so much variety of rides you can enjoy,4
prank paling gokil,5
wahananya seru utk uji adrenalin bersama temanteman,4
kereta misteri oke sih,5
dufan merupakan tempat wisata di jakarta utara,5
terlalu antri,3
sedih banget liat pontangpontang wahana nostalgia waktu kecil ga terurus gini semoga segera dapat di restorasi dan biar rame,4
banyak wahana yang asik dan menyenangkan,5
baik untuk keluarga teruntuk anak permainan nya pada seru semua,5
seru bgt cocok untuk liburan jalan brg temen dll,5
tempat bermain yg bagus untuk anak,5
seru bgtt,5
dari kecil saya sangat suka tempat ini bolak balik kesini gapernah bosen tiap hari kesini merasa makin seru wahana nya gapernah bosenin,5
seru semua permainannya mafaza,5
ga pernah bosen untuk balik kesini semua wahana nya seru dan tempatnya cukup luas fasilitasnya cukup lengkap jadi bisa bawa keluarga atau teman dekat untuk liburan kesini,5
wahananya banyak cocok untuk anak anak dan tempatnya luas,5
wahana atraksi legendaris di jakarta arena permainan sebagian masih sama dengan awal berdiri selain itu ada beberapa wahana baru yang menarik juga,5
beberapa permainan ada yang di perbaiki sedikit lebih sepi dari dulu,5
enak walaupun enek sedikit pas naik kincir angin,5
sangat menyenangkan,5
permainan adrenalin,5
