review_text,review_rating
banyak show dan wahana yang worth it buat masyarakat,5
gak nyesel banget main kesini anak happy orangtua apalagi dateng weekend jadi ga terlalu crowded areanya nyaman semua banyak pohon jadi sejuk dan adem ada area playground juga jangan lupa pakai promo beli tiketnya biar lebih murah dan make sure udah tau jadwal jadwal tiap shownya biar ga ada yang ketinggal biar ga rugi jangan lupa juga ambil foto bareng satwanya buat kenangan hehe,5
niatnya masuk pas weekday biar ga ramai ternyata lumayan rame jg mantabs ada perkembangan setelah beberapa tahun ga kesini,5
worth it banget si main ke gelanggan samudraper orang saat ini sekitar ribubisa menikmati singa laut lumba cinema d pinguin mermaid bird atraksibirdland terpisah tiket nyaabis itu ada wahana kaya di dufanada playgroundwah pokok nya sampe capemakan planet bakso enak bangetreccomended bakso nyaabis itu baru deh naek gondola sambil melepas lelah menikmati pemandangan pantai ancolkalo mau kesini datengnya pagi dari buka bakal puas,5
sebagai sebuah tenang wisata liburan mungkin masih perlu banyak berbenah terutama dalam hal jadwal show serta pengaturan saat persiapan show karena terasa kurang persiapan yang buat pengunjung tidak nyaman,3
seharian full disini untuk melihat banyak show pertunjukan hewan laut putri duyung,5
bawa anak,4
seumur baru kali ini ke samudra ancol padahal deket ternyata tempatnya seru apalagi bawa anak dijamin hepi wahana terbaik di cinema d,5
masih menarik untuk anak terutama acara singa laut mermaid lumba dan atraksi burung yang kurang berkesan acara memberi makan pinguin overall anak seneng berkunjung kesini beli tiketnya online di web resmi ancol banyak promonya,5
keren tapi maaf menurutku talent mermaid nya kurangbanyak ambil nafas ke atas jadi kurang memuaskan pertunjukan nyakostumnya jugakupikir ekornya bakal yg shining shimering gitu bahannya tapi trnyata tapi trnyata bahan biasa kyk kostum anak pertunjukan dolphin nya ruame pol tapi tetep yg paling seru,5
destinasi wisata anak yg keren pertunjukan hewan jg bagus dn menyenangkan fasilitas lengkap permainan anak jg banyak,5
ada berbagai macam hiburan dan pertunjukan di samudra ancol cocok untuk menghabiskan waktu bersama keluarga terutama yang mempunyai anak kecil karena banyak aktivitas yang sesuai pertunjukan sealion atau singa laut dan hewan lainnya penguin lumbalumba mermaids show sinema d dan berbagai wahana yang dapat dicoba antrian di weekend cukup ramai namun tidak sepadat dufan masih bisa menemukan banyak tempat untuk istirahat dan sekedar duduk duduk musholla dan toilet cukup nyaman suasana juga cukup rindang dan banyak yang berpiknik untuk menikmati makanan bersama di area lapangan rumput,5
cocok buat anak,5
tiket diskon rborang untuk pembelian orang dihari weekend tempatnya seru bersih sejuk cocok buat healing akhir pekan bersama keluarga,5
sangat sangat buruk penjualan tiket online nya saya bayar orang dan barcode tidak muncul alhasil saya dan anak gk bisa masuk padahal bukti transferan sudah di kasih lihat sangat mengecewakan ini untuk pertama dan terakhir saya kesini,1
seruuuu,5
keren,5
pertama kali ke samudera karena anak ingin melihat dolphin saya mendapatkan kesempatan untuk memberikan makan penguin dan dolphin secara langsung sangat menyenangkan di sisi lain ada kecemasan tersendiri terhadap satwa yang dijadikan objek atraksi saya berharap rekanrekan yang bekerja disini selalu menerapkan kaidah animal welfare agar tidak menyakiti hewan tersebut,4
berkunjung membawa orang tim rombongan dengan tiket masuk ocean dream dan seaworld walau weekend kondisi pengunjung sepi secara umum jadi bisa santai jalanjalannya hanya beberapa wahana tidak berfungsi dan papan informasi jadwal pertunjukkan banyak yang tidak update,4
best recreation for children,5
seru tidak membosankan rapih apik,5
tempat rekreasi sekaligus utk edukasi keluarga,4
seneng bs ajak anak kesini tp sayang saat nonton pertunjukan panas jd anak nangis tp untuk permainan lumayan ga usah bayar lg jd anak happy lg,5
jika hendak ke sini sebaiknya pakai grabbluebird supaya gratis car entrance lebih murah beli tiket di travelka drpd webnya ancl atau beli langsung saat ini d cinematic experience sedang diperbaiki hingga agustus karena atapnya ambrol not bad karena anda masih bisa menikmati dolphin show mermaid show penguin show dan otter feeding wahana bermain anaknya ada playground kecil dan ada komidi putar,4
saya kesini hari biasa karna berharap pengunjung gak terlalu ramai tapi ternyata salah ada lebih dari rombongan sekolah yang datang di luar yang pribadi seperti saya saya tidak bisa menikmati pertunjukan hewan karna antrian yang sangat panjang di setiap pintu pertunjukan saya datang jam antri pertunjukan dolphin lalu liat pertunjukan jam siang dan jam saya keluar dari samudra ancol karna semakin siang semakin banyak orang yang masuk pertunjukan d juga tidak bisa di gunakan lain kali tolong di perhatikan kenyamanan yang pribadi juga karna kami membayar bukan dengan harga yang murah,1
tempat yang asik buat bareng keluarga tidak perlu ke luar kota,5
fleksibilitas pihak samudra oke banget bisa nambah jam tayang atraksi krn melihat kepadatan pengunjung diluar jadwal weekday di public information dateng bertiga pas weekday tapi berasa lg public holiday karena banyak banget rombongan anak sekolah paudtk next time kalau mau weekday kesini dengan ekspektasi agak sepi jgn pilih pas akhir semester sekolah gini,4
keren,5
cocok untuk edukasi anak,5
good place,5
selalu bagus menghibur dan hebat baik binatang dan yg ngajar nya semakin seru dr jaman tahun sebelumnya dan lebih rapih pengaturannya btw kenapa pelatihnya ga dipakein handsfree ya biar suaranya jelas ga teriak,5
keocean dream samudra pas acara porseni tk langsung kita ngatri dipertujukan lumba itu yg diutamakan ternyata parah sekali antriannya samapi berdesak desak dan tidak ada pembatasan antrian sampai anakku jadi trauma harusnya sekelas ancol antisipasi dengan antrian yang berdesak desakkan dewasa dengan anak bercampur kasih anak yang mau nonton lumba untungnya terhibur sama lumbanya tapi anakku mau main yang lain udah gak mau karena trauma antriannya sayangkan udh bayar mahal tapi gak bisa masuk kepetunjukan semuanya,3
buat anak oke bgt sih banyak mainan banyak atraksi binatang kudu seharian sih kalo kesini,4
udah sering ke ancol tapi baru pertama kalinya ke samudra ancol bagusss dan tempatnya bersih seharian bisa nonton semua pertunjukan ada mermaid show dolpin show pinguin show bird show dan yang paling seru cinema d boleh bawa makanan dari luar tapi harus tetap jaga kebersihan yah didalam juga banyak yang jual makanan dan minuman loh jadi gak perlu khawatir kalau lapar dan haus yah di sini juga ada beberapa wahana permainan anak yang gratisssplayground toiletnya bersih dan ada ac jadi gak kegerahan seru buat ajak anak,5
mantap,5
bersih dan pas untuk ajak liburan anakanak,5
wahana edutainment theme park yang berada di dalam kawasan ancol tempatnya nyaman untuk liburan bareng keluarga,5
buat kalian yang lagi di jakarta dan cari tempat wisata keluarga yang seru dan penuh petualangan ocean dream samudra di ancol ini tempat yang wajib kalian kunjungi saya beberapa kali ke sini dan selalu terkesan dengan atraksi serta pengalaman yang ditawarkan begitu masuk kalian bakal langsung disambut sama suasana yang ramai dan penuh energi ada banyak atraksi menarik yang bisa kalian nikmati mulai dari pertunjukan lumbalumba yang keren banget sampe pertunjukan singa laut yang lucu dan menghibur anakanak pasti bakal suka banget nonton pertunjukan ini dan mereka juga bisa belajar banyak tentang kehidupan hewan laut salah satu atraksi yang paling saya suka adalah pertunjukan paus putih melihat paus putih beraksi di atas air itu benarbenar menakjubkan selain itu ada juga area akuarium yang bisa kalian eksplor di mana kalian bisa melihat berbagai jenis ikan dan biota laut lainnya dari dekat untuk yang suka tantangan ada juga beberapa wahana permainan yang bisa dicoba kayak perahu ayun dan korakora semua wahana ini aman dan dijaga dengan baik jadi kalian bisa menikmati permainan dengan tenang fasilitas umum di sini juga lengkap ada banyak area makan yang menyajikan berbagai pilihan makanan dan minuman jadi kalian bisa istirahat dan ngisi tenaga sebelum lanjut menikmati atraksi lainnya toilet dan fasilitas lainnya juga bersih dan terawat lokasinya strategis dan mudah diakses dari berbagai tempat di jakarta ditambah lagi dengan area parkir yang luas jadi kalian gak perlu khawatir soal parkir kendaraan secara keseluruhan ocean dream samudra ancol ini tempat yang recommended buat kalian yang mau wisata keluarga yang seru dan penuh petualangan di jakarta kalo kalian lagi cari aktivitas yang menyenangkan dan mendidik buat anakanak gak perlu ragu buat mampir ke sini ya,5
liburan akhir pekan ke samudra ancol liburan sekalian edukasi untuk anakanak banyak permainan untuk anakanak dan juga dewasa lebih baik beli tiketnya online jadi lebih mudah karna hanya sistem barcode sudah bisa langsung masuk banyak talent jualan jugaaa jd tidak perlu bawa makanan dr rumah,5
