review_text,review_rating
seru liat bbrp show di sea world anakanak senang,5
baguuss sekali banyak kegiatan yg dapat diikuti tidak membuat bosan meski dr pagi sampai sore,5
ikanya sedikit jenisnya banyak karang yang tempatnya kosong,4
kesini hari senin periode akhir liburan idul adha pengunjung tidak terlalu ramai lumayan edukatif terkait biota laut yang tersebar di beberapa aquarium ada beberapa pertunjukan yang diadakan di jam tertentu,5
nice place for your kids,5
beli tiket masuk bisa datang langsung dan lewat traveloka ya guys kemarin aku dapat promo traveloka ternyata terkena tanggal juni ini salahku juga kemarin ga liat tgl waktu kami mau masuk gerbang sea world indonesia tgl juni ga bisa refundganti tanggal klo lwt traveloka jadi pengalaman jadi disini agak rame krn posisi masih libur ya guys utk edukasi anak cocok nihh bisa mengenal hewan juga krn anakku full baterainya jadi sesuka dia tapi dari keseluruhan aku suka tempat ini,5
good experience but you have to go at morning if you want to discover such places follow me on instagram eliok,4
bagus bisa lihat dunia laut anak anak senang di ajak liburan di sea world ancol recommended,5
ya sangat cocok buat mengenalkan satwa bawah laut ke anak anak,5
lebih di perbanyak lagi ikannya,5
kesini sama rombongan anak sekolah tk wahana banyak menyenangkan puas liburan kesini,5
wahana edukasi yang bagus untuk sikecil bisa melihat berbagai macam tipe ikan bahkan di jam dan ada pertunjukan memberi makan ikan,5
datang kesini pas hari libur tanggal mei kondisi lumayan ramai mengenang kenangan kesini pas masih kecil ternyata ga banyak berubah tapi semakin bagus acara atau pertunjukan di jam jam tertentu ikan sangat beragam banyak penjelasan terkait ikan yang di tampilkan souvenir juga bagus lucu cuma sedikit mahal untuk kegiatan bareng keluarga sangat cocok ketika weekend terutama kalau bawa anak bukanya sampe sore sekitar jam sore harga tiket lumayan terjangkau ribu,5
tempat wisata terbaik di jakarta bisa menambah wawasan tentang hewan laut,5
no antri pdhl pas tanggal merah surprisingly bersih harga ga mahal amat ikan terawat dan sehat extra points for this dan sangat suka sering ada feeding show tiap sejam sekali kalo gasalah karyawan ramah sea world jaya jaya jaya,5
liburan sekolah kesini ajak anakanak seru banget bisa liat berbagai jenis ikan air tawar atau air laut secara langsung dan tak lupa ada berbagai atraksi di dalam aquarium raksasa atraksi juga seru karena yang bisa jawab pertanyaan bisa dapat sticker anakanak suka,5
tempat enak buat santai bersama keluarga kedua kalinya kesini,5
sudah agak kumuh perlu renovasi,4
good experience bringing baby here staff nya ramah informatif dan satwa lautnya cukup banyak di bandingkan aquarium lainnya di jakarta namun ada beberapa kaca yang sedikit buram dan kebersihannya kalau bisa dj rating,5
baru kesini lagi setelah bertahuntahun ikan hiu nya kurang dulu seperti nya ada hiu martil sekarang ga ada semoga semakin maju lagi seaworld indonesia,4
seaworld yg sekarang jauh lebih mengecewakan dibanding dulu pertama kali ke sana di tahun yg sekarang banyak akuarium yg kuantitas ikan dan ubur nya lebih sedikit dan terasa lebih kosong kaca aquarium jg semakin buram dengan harga tiket kpax di weekend dengan kualitas seaworld yg semakin menurun sekarang berasa ga worth it semoga lebih di maintain dan diperbagus lg,3
sekarang berasa lebih dikit ikannya dulu masih ada dugong sekarang udah gak ada lalu di kolam besar dulu masih ada hiu sekarang udah ga ada sama sekali dilihatlihat yang paling wow petugasnya bilang di mic kalau hiu adalah hewan ganas padahal ganasan manusia yg ngambilin sirip hiu,3
mengenalkan berbagai macam hewan biota yang ada dibawah laut anak sangat antusias happy selain itu ada pertunjukan penyelam memberi makan hiu tersedia foodcourt nursing room juga,5
tidak banyak perubahan kaca aquarium banyak yang sudah buram perlu renovasi agar lebih kekinian tempat tidak begitu besar wc bersih ada nursing room juga disarankan beli tiket online agar lebih murah dan tidak antri pegawai ramah,3
bagus,5
mantap masih terawat padahal terakhir th yang lalu datang kesini,5
karena sedang sepi jd tidak antri tapi tambah sore banyak anak jd lumayan antri,5
tempat yg asik untuk rekreasi bersama bayi dan istri tempat lumayan bersih staff baik dan ramah terima kasih juga untuk penyu dan ikan hiu yg sudah mau nemenin bayi saya makan jadi ga gtm,4
sudah berpuluh tahun lalu sampai sekarang ga ada yang baru,1
seru bisa liat berbagai jenis hewan laut,5
ga ngebosenin seru deh pokoknya,5
pengalaman yang sangat menyerukan buat anak,5
tempatnya sudah agak tua kaca aquariumnya sudah agak buram perlu direnov supaya lebih fresh karena dari sejak terakhir kesana tahun an ga banyak berubah wcnya surprisingly bersih,4
beli tiketnya lewat online aja di traveloka tiketcom dll harga tiket k perorang sedangkan di online ada banyak promo yang bs diambil nice ya,4
tempatnya bagus buat edukasi dan wisata anak,4
sangat menyenangkan bisa bawa keluarga cukup luas juga banyak pertunjukan jadi ga bosan cuma muter liat ikan,5
tempat rekreasi utk keluarga nyaman utk di kunjungi parkir mobil luas motor juga luas,5
area parkir luas yg punya bayi dan balita tersedia nursery room yg nyaman dan dekat dg masjid kalau yg hendak shalat biota laut beragam dan cocok untuk wisata edukasi anak,5
klo ke jkt wajib ajak anak kesini wisata edukasi yg keren,5
seaworld ancol masih keren seperti jaman dulu kecil seneng bisa kesini lagi staff ramah dan baik,5
bisa liat penyelam kasih makan ikan di aquarium besar tersedia lorong ikan aquarium pas masuk ada banyak yg foto ternyata buat foto di lorong kaca nantinya backgroundnya di edit ada galery ikan diatas bisa mengetahuinya spesifikasi nama spesies dilaut ada game virtual didalam air ada ikan hiu kecilkecil dan besar anakanak sangat aktif sekali disini,5
