review_text,review_rating
free entry during jakartas anniversary start from stopped by at lagoon beach and was full of ppl take care and enjoy everyone,5
ancol semenjak ganti scurity aman tentram tidak was was kita wisata sekarang security santun,5
lokasi makin oke luas rapih dan bersih hanya di bagian kapal sedkit bau pesing sisi kiri yg ada pom bensin di dlm letsguide,4
seru seru wahananya paling favorit naek kereta misteri,5
seruan bareng kesayangan,5
bagaimanapun kalau ke dufan selalu happy terutama toiletnya skrg sdh bersih dan cukup nyaman mungkin bbrp hal yg bisa ditingkatkan adalah pengadaan shelter untuk bbrp wahana seperti wahana ice age antrian selalu panjang tp hanya bbrp spot yg tertutup payung besar sisanya sambil menunggu kulit akan terbakar parah krn waktu menunggu yg cukup lama lalu kebersihan alatalat di wahana terutama arung jeram kursi wahana arung jeram banyak yg berlumut sehingga jd cukup ngeri untuk duduk bersandar dan air yg ada di bbrp wahana agak bau ice age istana boneka niagaragara arung jeram masalahnya air tersebut akan terkena ke muka bahkan bisa tdk sengaja masuk mulut dan tertelan,4
mantep banget kebeneran ga banyak antri,5
tempat yang seru buat rekreasi keluarga,5
tempat liburan seru,5
puas maen d ancol,4
tempat asik yang mainstream untuk berlibur bersama keluarga di jakarta,5
really good place if we visit when its not in holiday seasondont buy from ancol website look for traveloka or other online ticketing platform for discount,5
tempat rekreasi segala umur banyak pilihan tempat,5
salah satu destinasi wisata keluarga yang ada di jakarta banyak spot wahana yg disediakan salah satunya kebun binatangnya yg ckup walaupun kurang luas dan binatang nya harus ditambah lagi ya biar variasinya bnyak,4
ancol terlalu mahal ksian buat org tak mampu msuk ny ja blom motr itu blom plus sm anak sm laki sm makan mahal deh pkok ny,5
bagus dan murah hanya saja pantainya kotor harusnya pengembang lebih memperhatikan kebersihan supaya di air tidak banyak sampah berserakan,5
sunggu indah,4
tgl mei,4
masih sama seperti dulu ya seperti itu aja tapi pantainya lumayan bersih dari sampah karena ada petugas kebersihannya yg keliling,4
gk bakal bosen kl main kesini banyak pilihan liburan makanna juga banyak dan untunk nyenengin bocah pas banget ada yg gratis dan ada juga yg bayar akses kl naik angkutan umum jiga mudah di dalam juga ada transjakarta premium buat keliling sekitr ancol,5
taman rekreasi terbaik untuk keluarga,5
tempat rekreasi yg nyaman aman bagi semua orang tersedia bus ac untuk wara wiri ke wahana yg lainnya,5
ada air mancurnya juga yg bisa menari,5
still the best,5
tempatnya bagus buat rekreasi bersama teman maupun keluarga untuk tempat bermainnya terutama ice age harus di peremajaan lagi dah soalnya dl main ice age dingin bngt sekarang gak dingin dingding di dalem ya pda berdebu dan pengap di dalam makasih,5
main air di pantai ancol kotoran nempel di baju semacam bercakoil dicuci pun tidak hilang baju putih jd coklat tdk akan pernah main air lagi di pantai ancol kalau memang sekotor dan sepolusi itu lebih baik pantai ditutup agar tidak membahayakan org yg bermain disanaaplg byk anak,1
masih jadi tempat yg enak buat sekedar duduk ngobrol minum kopi dipinggir pantai sambil liat banyak orang lalu lalang semoga terus ditingkatkan kesadaran orang yg berkunjung pengelola untuk tetap menjaga kebersihan keamanan,5
ke sini dalam rangka menghadiri tahun anniversary garda oto juni,5
nice,5
masuk area ancol berbayar mobil rb sama tiket per orangnya rb juga,5
liburan ramai lancar,5
seruu bersama keluarga di hari atau musim liburan yg gk terlalu ramai jadi bisa naik semua wahana tanpa antri panjang,5
tempat liburan keluarga bangetterutama pantainy sukak sekali,5
taman impian jaya ancol pancen joz tempat yang bagus untuk hieling berlibur sangat cocok buat merepres otak dan pikiran yang mumet tempatnya indah banget,5
kalo kesini pagi enak,5
liburan bareng rekan kerja di ancol ini benerbener bikin suasana kerja makin cair dari yang tadinya cuma kenal di kantor sekarang jadi lebih deket dan banyak ketawa bareng nggak cuma ngelepas penat tapi juga bikin chemistry tim makin kuat pulang dari ancol rasanya badan fresh lagi dan siap buat kerja dengan semangat baru jadi kalau kamu lagi nyari ide buat outing kantor yang seru dan nggak kaku taman impian jaya ancol ini rekomendasi banget dijamin bikin kerja makin kompak dan happy terus,5
tempat cocok untuk acara bareng keluarga,4
parkir mobil setengah mati lahan parkir malah dibuat sirkuit,1
senang dan bahagia,5
good,5
okelah tiket masuk berdua rb include motor enaknya sore kalo siang puanash,4
ancol semakin bagus,5
seru permainan u anak remaja klo terlalu kecil ada playground di area ice age,5
