name,review_text,review_rating,review_datetime_utc
Ocean Dream Samudra - Ancol,Banyak show dan wahana yang worth it buat Masyarakat,5,06/15/2025 14:09:43
Ocean Dream Samudra - Ancol,"Gak nyesel banget main kesini, anak happy orangtua apalagi 🤣 dateng weekend jadi ga terlalu crowded, areanya nyaman semua banyak pohon jadi sejuk dan adem, ada area playground juga, jangan lupa pakai promo beli tiketnya biar lebih murah, dan make sure udah tau jadwal jadwal tiap shownya biar ga ada yang ketinggal biar ga rugi, jangan lupa juga ambil foto bareng satwanya buat kenangan hehe",5,06/14/2025 18:49:56
Ocean Dream Samudra - Ancol,"Niatnya masuk pas weekday biar ga ramai, ternyata lumayan rame jg. Mantabs ada perkembangan setelah beberapa tahun ga kesini",5,06/14/2025 12:00:35
Ocean Dream Samudra - Ancol,"Worth it banget si main ke gelanggan samudra..per orang saat ini sekitar 130ribu..bisa menikmati singa laut, lumba2, cinema 5D, pinguin & mermaid, bird atraksi..birdland terpisah tiket nya..abis itu ada 3 wahana kaya di dufan..ada playground..wah pokok nya sampe cape..makan planet bakso enak banget..reccomended bakso nya..abis itu baru deh naek gondola sambil melepas lelah menikmati pemandangan pantai ancol..kalo mau kesini datengnya pagi dari buka, bakal puas..",5,06/14/2025 09:35:11
Ocean Dream Samudra - Ancol,"Sebagai sebuah tenang wisata liburan mungkin masih perlu banyak berbenah, terutama dalam hal jadwal show serta pengaturan saat persiapan show, karena terasa kurang persiapan yang buat pengunjung tidak nyaman.",3,06/12/2025 19:11:35
Ocean Dream Samudra - Ancol,Seharian full disini untuk melihat banyak show pertunjukan hewan laut & putri duyung,5,06/12/2025 16:51:51
Ocean Dream Samudra - Ancol,Bawa anak,4,06/12/2025 11:44:54
Ocean Dream Samudra - Ancol,"Seumur2 baru kali ini ke Samudra Ancol, padahal deket. Ternyata tempatnya seru, apalagi bawa anak2, dijamin hepi. Wahana terbaik di Cinema 5D",5,06/12/2025 09:11:58
Ocean Dream Samudra - Ancol,"Masih menarik untuk anak2, terutama acara singa laut, mermaid, lumba2, dan atraksi burung. Yang kurang berkesan acara memberi makan pinguin. Overall anak2 seneng berkunjung kesini.
Beli tiketnya online Di web resmi ancol, banyak promonya.",5,06/11/2025 00:39:45
Ocean Dream Samudra - Ancol,"Keren tapi maaf menurutku talent mermaid nya kurang,banyak ambil nafas ke atas jadi kurang memuaskan pertunjukan nya.kostumnya juga,kupikir ekornya bakal yg shining shimering gitu bahannya tapi trnyata tapi trnyata bahan biasa kyk kostum anak2, Pertunjukan dolphin nya ruame pol tapi tetep yg paling seru😁",5,06/10/2025 09:23:42
Ocean Dream Samudra - Ancol,Destinasi wisata anak yg keren. Pertunjukan hewan2 jg bagus dn menyenangkan. Fasilitas lengkap. Permainan anak jg banyak.,5,06/08/2025 15:41:55
Ocean Dream Samudra - Ancol,"Ada berbagai macam hiburan dan pertunjukan di Samudra Ancol, cocok untuk menghabiskan waktu bersama keluarga terutama yang mempunyai anak kecil karena banyak aktivitas yang sesuai.

Pertunjukan sealion atau singa laut dan hewan lainnya, penguin, lumba-lumba, mermaids show, sinema 5d dan berbagai wahana yang dapat dicoba.

Antrian di weekend cukup ramai namun tidak sepadat dufan, masih bisa menemukan banyak tempat untuk istirahat dan sekedar duduk duduk.

Musholla dan toilet cukup nyaman, suasana juga cukup rindang dan banyak yang berpiknik untuk menikmati makanan bersama di area lapangan rumput.",5,06/08/2025 15:41:08
Ocean Dream Samudra - Ancol,Cocok buat anak2,5,06/07/2025 11:45:14
Ocean Dream Samudra - Ancol,"Tiket diskon 75rb/orang untuk pembelian 3 orang dihari weekend... Tempatnya seru, bersih, sejuk, cocok buat healing akhir pekan bersama keluarga❤️❤️😊😊😎😎",5,06/07/2025 11:26:39
Ocean Dream Samudra - Ancol,"Sangat sangat buruk😡 penjualan tiket online nya
Saya bayar 6 orang dan barcode tidak muncul alhasil saya dan anak"" gk bisa masuk padahal bukti transferan sudah di kasih lihat sangat mengecewakan ini untuk pertama dan terakhir saya kesini",1,06/07/2025 03:06:10
Ocean Dream Samudra - Ancol,Seruuuu,5,06/05/2025 15:36:00
Ocean Dream Samudra - Ancol,keren,5,06/04/2025 13:34:42
Ocean Dream Samudra - Ancol,"Pertama kali ke Samudera karena anak ingin melihat dolphin. Saya mendapatkan kesempatan untuk memberikan makan penguin dan dolphin secara langsung sangat menyenangkan. Di sisi lain, ada kecemasan tersendiri terhadap satwa yang dijadikan objek atraksi. Saya berharap rekan-rekan yang bekerja disini selalu menerapkan “kaidah animal welfare” agar tidak menyakiti hewan tersebut.",4,06/04/2025 06:58:32
Ocean Dream Samudra - Ancol,"Berkunjung membawa 9 orang tim rombongan dengan tiket masuk Ocean Dream dan SeaWorld. Walau weekend, kondisi pengunjung sepi. Secara umum jadi bisa santai jalan-jalannya.

Hanya beberapa wahana tidak berfungsi dan papan informasi  jadwal pertunjukkan banyak yang tidak update.",4,06/03/2025 23:45:32
Ocean Dream Samudra - Ancol,Best Recreation for children,5,06/03/2025 07:15:54
Ocean Dream Samudra - Ancol,"Seru, tidak membosankan, rapih, apik.",5,06/01/2025 13:17:52
Ocean Dream Samudra - Ancol,Tempat rekreasi sekaligus utk edukasi keluarga,4,06/01/2025 05:59:53
Ocean Dream Samudra - Ancol,Seneng bs ajak anak2 kesini tp sayang saat nonton pertunjukan panas jd anak2 nangis tp untuk permainan lumayan ga usah bayar lg jd anak2 happy lg 😁,5,05/31/2025 02:04:17
Ocean Dream Samudra - Ancol,"Jika hendak ke sini sebaiknya pakai Grab/Bluebird supaya gratis car entrance. Lebih murah beli tiket di Travel0ka drpd webnya Anc0l atau beli langsung.

Saat ini 5D cinematic experience sedang diperbaiki hingga Agustus karena atapnya ambrol. Not bad, karena Anda masih bisa menikmati dolphin show, mermaid show, penguin show dan otter feeding. Wahana bermain anaknya ada playground kecil dan ada komidi putar.",4,05/30/2025 22:54:18
Ocean Dream Samudra - Ancol,"Saya kesini hari biasa karna berharap pengunjung gak terlalu ramai.
Tapi ternyata salah, ada lebih dari 10 rombongan sekolah yang datang di luar yang pribadi seperti saya.
Saya tidak bisa menikmati pertunjukan hewan karna antrian yang sangat panjang di setiap pintu pertunjukan.
Saya datang jam 10.15, antri pertunjukan dolphin, lalu liat pertunjukan jam 11 siang, dan jam 12 saya keluar dari samudra ancol karna semakin siang, semakin banyak orang yang masuk.
Pertunjukan 5D juga tidak bisa di gunakan.
Lain kali, tolong di perhatikan kenyamanan yang pribadi juga karna kami membayar bukan dengan harga yang murah.",1,05/29/2025 18:37:53
Ocean Dream Samudra - Ancol,"Tempat yang asik buat bareng keluarga, tidak perlu ke luar kota",5,05/29/2025 04:24:40
Ocean Dream Samudra - Ancol,"Fleksibilitas pihak Samudra oke banget bisa nambah jam tayang atraksi krn melihat kepadatan pengunjung (diluar jadwal weekday di public information). Dateng bertiga pas Weekday tapi berasa lg public holiday karena banyak banget rombongan anak sekolah Paud-TK.

Next time kalau mau weekday kesini dengan ekspektasi agak sepi, jgn pilih pas akhir2 semester sekolah gini.",4,05/28/2025 22:39:00
Ocean Dream Samudra - Ancol,Keren,5,05/27/2025 07:06:15
Ocean Dream Samudra - Ancol,Cocok untuk edukasi anak,5,05/27/2025 01:16:03
Ocean Dream Samudra - Ancol,Good Place.,5,05/26/2025 00:41:02
Ocean Dream Samudra - Ancol,"Selalu bagus menghibur dan hebat2 baik binatang dan yg ngajar nya

Semakin seru dr jaman tahun2 sebelumnya.
Dan lebih rapih pengaturannya

Btw kenapa pelatihnya ga dipakein handsfree ya biar suaranya jelas. Ga teriak2",5,05/25/2025 23:07:14
Ocean Dream Samudra - Ancol,KeOcean dream samudra pas acara Porseni Tk langsung kita ngatri dipertujukan lumba² itu yg diutamakan ternyata parah sekali antriannya samapi berdesak desak dan tidak ada pembatasan antrian sampai anakku jadi trauma harusnya sekelas Ancol antisipasi  dengan antrian yang berdesak desakkan dewasa dengan anak² bercampur kasih anak² yang mau nonton lumba untungnya terhibur sama lumbanya tapi anakku mau main yang lain udah gak mau karena trauma antriannya sayangkan udh bayar mahal tapi gak bisa masuk kepetunjukan semuanya,3,05/25/2025 16:34:19
Ocean Dream Samudra - Ancol,Buat anak2 oke bgt sih banyak mainan banyak atraksi binatang... kudu seharian sih kalo kesini.,4,05/24/2025 15:45:00
Ocean Dream Samudra - Ancol,"Udah sering ke Ancol tapi baru pertama kalinya ke Samudra Ancol. Bagusss dan Tempatnya bersih. Seharian bisa nonton semua pertunjukan ada mermaid show, Dolpin show, pinguin show, bird show dan yang paling seru Cinema 5D. Boleh bawa makanan dari luar tapi harus tetap jaga kebersihan yah. Didalam juga banyak yang jual makanan dan minuman loh jadi gak perlu khawatir kalau lapar dan haus yah. Di sini juga ada beberapa wahana permainan anak2 yang gratisss+Playground. Toiletnya bersih dan ada AC  jadi gak kegerahan. Seru buat ajak anak2👍",5,05/24/2025 13:26:08
Ocean Dream Samudra - Ancol,Mantap,5,05/21/2025 13:00:40
Ocean Dream Samudra - Ancol,Bersih dan pas untuk ajak liburan anak-anak,5,05/21/2025 00:48:47
Ocean Dream Samudra - Ancol,Wahana edutainment theme park yang berada di dalam kawasan Ancol. Tempatnya nyaman untuk liburan bareng keluarga.,5,05/20/2025 13:14:05
Ocean Dream Samudra - Ancol,"Buat kalian yang lagi di Jakarta dan cari tempat wisata keluarga yang seru dan penuh petualangan, Ocean Dream Samudra di Ancol ini tempat yang wajib kalian kunjungi! Saya beberapa kali ke sini, dan selalu terkesan dengan atraksi serta pengalaman yang ditawarkan.

Begitu masuk, kalian bakal langsung disambut sama suasana yang ramai dan penuh energi. Ada banyak atraksi menarik yang bisa kalian nikmati, mulai dari pertunjukan lumba-lumba yang keren banget, sampe pertunjukan singa laut yang lucu dan menghibur. Anak-anak pasti bakal suka banget nonton pertunjukan ini, dan mereka juga bisa belajar banyak tentang kehidupan hewan laut.

Salah satu atraksi yang paling saya suka adalah pertunjukan paus putih. Melihat paus putih beraksi di atas air itu benar-benar menakjubkan! Selain itu, ada juga area akuarium yang bisa kalian eksplor, di mana kalian bisa melihat berbagai jenis ikan dan biota laut lainnya dari dekat.

Untuk yang suka tantangan, ada juga beberapa wahana permainan yang bisa dicoba, kayak perahu ayun dan kora-kora. Semua wahana ini aman dan dijaga dengan baik, jadi kalian bisa menikmati permainan dengan tenang.

Fasilitas umum di sini juga lengkap. Ada banyak area makan yang menyajikan berbagai pilihan makanan dan minuman, jadi kalian bisa istirahat dan ngisi tenaga sebelum lanjut menikmati atraksi lainnya. Toilet dan fasilitas lainnya juga bersih dan terawat.

Lokasinya strategis dan mudah diakses dari berbagai tempat di Jakarta. Ditambah lagi dengan area parkir yang luas, jadi kalian gak perlu khawatir soal parkir kendaraan.

Secara keseluruhan, Ocean Dream Samudra - Ancol ini tempat yang recommended buat kalian yang mau wisata keluarga yang seru dan penuh petualangan di Jakarta. Kalo kalian lagi cari aktivitas yang menyenangkan dan mendidik buat anak-anak, gak perlu ragu buat mampir ke sini ya! 😊",5,05/19/2025 10:31:50
Ocean Dream Samudra - Ancol,"Liburan akhir pekan ke samudra ancol, liburan sekalian edukasi untuk anak-anak. Banyak permainan untuk anak-anak dan juga dewasa.
Lebih baik beli tiketnya online jadi lebih mudah karna hanya sistem barcode sudah bisa langsung masuk.
Banyak talent jualan jugaaa jd tidak perlu bawa makanan dr rumah.",5,05/18/2025 05:17:11
