name,review_text,review_rating,review_datetime_utc
Sea World Ancol,👍👍,5,06/15/2025 09:24:28
Sea World Ancol,Seru liat bbrp show di sea World.. Anak-anak senang.. 😁😁😁,5,06/14/2025 00:53:41
Sea World Ancol,Baguuss sekali banyak kegiatan yg dapat diikuti tidak membuat bosan meski dr pagi sampai sore,5,06/12/2025 23:28:10
Sea World Ancol,ikanya sedikit jenisnya.. banyak karang yang tempatnya kosong..,4,06/12/2025 13:15:20
Sea World Ancol,"Kesini hari senin periode akhir liburan idul adha, pengunjung tidak terlalu ramai. Lumayan edukatif terkait Biota laut yang tersebar di beberapa aquarium. Ada beberapa pertunjukan yang diadakan di jam2 tertentu",5,06/12/2025 06:03:13
Sea World Ancol,Nice place for your kids.,5,06/12/2025 03:12:18
Sea World Ancol,"Beli tiket masuk bisa datang langsung dan lewat traveloka ya guys, kemarin aku dapat promo traveloka ternyata terkena tanggal 10 Juni ini salahku juga kemarin ga liat tgl, waktu kami mau masuk gerbang sea world Indonesia tgl 07 Juni ga bisa refund/ganti tanggal klo lwt traveloka (jadi pengalaman). Jadi disini agak rame krn posisi masih libur ya guys, utk edukasi anak2 cocok nihh bisa mengenal hewan juga krn anakku full baterainya jadi sesuka dia tapi dari keseluruhan aku suka tempat ini,,",5,06/11/2025 16:52:51
Sea World Ancol,"Good experience, but you have to go at morning
If you want to discover such places
Follow me on Instagram
Eliok323",4,06/11/2025 11:41:55
Sea World Ancol,Bagus bisa lihat dunia laut. Anak anak senang di ajak liburan di sea world ancol. Recommended,5,06/11/2025 08:23:42
Sea World Ancol,Ya sangat cocok buat mengenalkan satwa bawah laut ke anak anak,5,06/10/2025 15:36:57
Sea World Ancol,Lebih di perbanyak lagi ikannya,5,06/10/2025 06:28:52
Sea World Ancol,Kesini sama rombongan anak sekolah TK wahana banyak menyenangkan puas liburan kesini,5,06/09/2025 13:19:26
Sea World Ancol,"Wahana edukasi yang bagus untuk sikecil, bisa melihat berbagai macam tipe ikan bahkan di jam 9 dan 11 ada pertunjukan memberi makan ikan",5,06/09/2025 11:59:56
Sea World Ancol,"Datang kesini pas hari libur tanggal 12 Mei 2025  kondisi lumayan ramai. Mengenang kenangan kesini pas masih kecil. Ternyata ga banyak berubah, tapi semakin bagus.

1. Acara atau pertunjukan di jam jam tertentu.
2. Ikan sangat beragam
3. Banyak penjelasan terkait ikan yang di tampilkan
4. Souvenir juga bagus lucu cuma sedikit mahal
5. Untuk kegiatan bareng keluarga sangat cocok ketika weekend terutama kalau bawa anak
6. Bukanya sampe sore sekitar jam 6 sore
7. Harga tiket lumayan terjangkau 120 ribu",5,06/09/2025 11:33:22
Sea World Ancol,مشكلتها شمسسس,4,06/09/2025 09:33:16
Sea World Ancol,Tempat wisata terbaik di jakarta bisa menambah wawasan tentang hewan laut,5,06/09/2025 08:33:47
Sea World Ancol,"No antri2 pdhl pas tanggal merah, surprisingly bersih, harga ga mahal2 amat, ikan2 terawat dan sehat2 (extra points for this!) dan sangat suka sering ada feeding show tiap sejam sekali kalo gasalah, karyawan ramah2, sea world jaya jaya jaya!",5,06/09/2025 05:36:53
Sea World Ancol,"Liburan sekolah kesini ajak anak-anak seru banget. Bisa liat berbagai jenis ikan air tawar atau air laut secara langsung. Dan tak lupa ada berbagai atraksi di dalam aquarium raksasa. Atraksi juga seru karena yang bisa jawab pertanyaan bisa dapat sticker, anak-anak suka💕",5,06/09/2025 02:10:43
