review_text,review_rating
rivertubing seru,5
teman pnkasman yg ngelola,5
wisata watu kandang desa pandean kecamatan dongko trenggalekpemandangan yang bagus dan juga sungai yang bagus buat wisata arung jeram,5
kuli,4
aku kesini gara nnton sinden gaib gaes,5
abandonedhampir setiap wisata desa ramai pada awalnya sajabanyak fasilitas yg tidak berfungsispot tertentu banyak yg lapuk rusak d makan rayapperlu perawatan berkala pemandangan alam indah suasana sejuk segar sungai jernih dan alami mantap,5
tempat yg indah untuk d kunjungi,5
tempatnya bagus sejuk airnya jernih tapi ketika habis hujan biasanya kecoklatan aksesnya sudah bagus aspalan dekat bengkel jika memerlukan,5
akurat,5
kesini gara gara film sinden gaib,5
juosss,5
iya,5
tempat yang asyik menarik sejuk asri,5
la iki watune seng di filmne yo,5
tempat keren perlu perawatan terus menerus agar tempat ini lbh baik kedepannya,4
kren lah kk aku kan asli orang trenggalik dongko pandean kren mantap monggo seng blm pernah kesitu cepat kunjungin desa trenggalik dongko panden,5
desa yang merawat sungai dijadikan wisata,5
bagus ok,5
lumayan bagusmasyaratnya juga ramah,3
restu i s,5
pemandangan alam yg sangat menawan kami bersama kelg sangat menikmati nyanyian alam dr gemericik suara aliran sungai yg syahdu dipadu dg nyanyian burung beterbangan yg sedang mencari makan,5
pelayanan bagus di suguhi dengan kearifan lokal,4
sepi,5
asyik dan menyenangkan untuk kegiatan outbound bersama tim sekolah maupun kantor,5
aku karo utes biasane ngopi rene lur,5
tempat baru bagi yg hobby raftingsayang berkunjung pas hujan dan sdh sore,5
tempat wisata air watu kandang yg terletak di ds pandean dongko ini sangat indah dan alami,1
sory sy kasih bintang tgl des saya kesana yernyata tidak sesuai dengan harapan saya belum dikelola dwngan baik masih sebatas wisata alam yg dengan sedikit fasilitas begitu datang tempat bagus langsung foto seleaai foto lanjut ke dalam xari gazebo dgn harapan mau oesan makan ternyata blm ada yg jualn makan potensi alamnya sangat bangus bisa saya kasih bibtang kalau didukung dgn fasilitas yg memadai dan dikelola dgn baik serta dilengkapi srana serta kemanan bagi pengunjung,2
destinasi wisata alam dalam pedesaan yang berada di desa pandean kecamatan dongko kabupaten trenggalek nikmati kesegaran dan kesejukan alam trenggalek dengan keramahan pedesan,5
tempatnya menyenangkan asri dan sangat nyaman,5
alam dan desa ini merupakan cikal bakal diri ku hidup di dunia alam yg selalu asri penuh ketenangan dan setiap orang yang datang kesini meskipun waktu itu jalan menuju desa ini penuh perjuangan namun selalu membawa kesan bagi yg mengunjungi dan pasti berkata aku akan kembali lagi kesini desa ini membawa pesona alami dengan banyak budaya nya akhir ini desa ini menjadi viral karena dengan polesan saudaraku dan masyarakat serta tim berhasil menggondol peringkat sebagai desa wisata sangat bersyukur meski desa terpencil namun sangat asri dan ngangeni ini juga melahirkan orang terpandang di kota sukses buat desa ku desa leluhur ku,5
bener takjub dengan pekandangan disini akses ke lokasi pun sangat mudah dicari dan dijangkau dari puskesmas pandean yang lama masuk kira kira km lah lokasi sudah berada di kanan jalan kedepannya mungkin asik kalo ditambahin kaya cottage gitu tp perlu waspada ketika musim hujan,5
tempatnya bagus dan asik,5
sagat bagus,5
sangat menyenangkan untuk wisata di watu kandang bagi yg ingin foto viewnya sangat indah wisata watukandang terdapat batu besar yg sangat menakjubkan masih penasarandatang dooonk,5
mau cari wisata yg asri sejuk ga ada polusi ini solusinya,5
ini enak hawa segar,5
taman wisata keluarga monggo ber ciblon ria,5
tempat yang bagus untuk rekreasi bersama keluarga besar diakhir pekan dengan harga river tubing arung jeram yg sangat terjangkau mulai rb per orang,5
sangat nyaman tempat yang indah sejuk dan alami di iringi kemricik suara air yang menentramkan jiwa pandean is thebesh,5
destinasi wisata yg sangat recomnd buat keluarga susana asri sejuk aliran air bersih dan jernih ada glamping juga gasebo tidak lupa toilet yg cukup bersih dan lumayan banyak,5
satu kata untuk desa wisata kita membanggakan,1
seru tapi sayang aku gak ikut jeram dung pelandakan,5
tempat masa kecil dan baru tereskpose sekarang semoga wisatawan dapat menikmati keindahan alam dan keramahtamahan penduduk lokal,5
mantaabb,5
seruu track nyaa kece,5
menyenangkan dan menantang,5
kaget n takjub sih awalnya waktu tau di desaku ada wisata ini maklum dah lama ngk pulang sungai di sini jernih banget airnya juga segar n dingin rame untuk river tubingnya harus pesan dulu blm nyobain sih krn bawa krucil next klo pul ke desa lagi harus nyobain,5
lokasinya dekat jalan raya jalurnya mantabs gaessss,5
joshhhhh gaesssss mantabz jiwa mempesonah tracknya,5
tenpat yg fantastis untuk uji adrenalin di sungai sambil bertubing ria makanannya enak dan yg terbaik adalah sambutan tuan rumah yg top markotop sukses selalu untuk teman pokdarwis dewi arum pulosari pandean,5
wisata alam yg menantang,5
menyenangkan n bagus,5
good view makes good mood,5
nice river tubing spot,5
lokasi river tubing yg sangat di rekomendasikan untuk berwisata dengan suasana alam yg masih asri tempat yang bersih serta kegiatan seni dan budaya jawa masih di pertahankan di desa wisata ini hal tersebut akan kita jumpai saat kita melakukan perjalanan wisata ke river tubing desa pandean sepanjang perjalanan menuju lokasi river tubing kita akan di suguhi pesona pemandangan alam yg luar biasa indah,5
tempat eksotis untuk melapas lelah dengan river tubing dan bermain aoir,5
taman watu kandang pandean dongkomantap jiwahmempesonahistimewah,5
