review_text,review_rating
dulu terkenal dg hutan mangrove tp sekarang punah dan keliatan sepi pengunjung tp nyaman utk outbond dengan warung makanan yg sangat terjangkau juga tersedia tempat karaoke yg cukup utk melepaskan penat,5
sama seperti hutan mangrove lain nya,3
kesini untuk kesekian kalinya kadang kena tiket masuk kadang enggak mintanya sih sumbangan yaaa jadi kek kurang terurus banyak kayu yg udah bolong hiks jadi takut buat lanjuttt jadi di cat warna warni padahal warna kayucoklat lebih indah dehhhh pengen naik perahu ternyata udah ga beroperasi hiks hiks tapi tetep indahhh silakan mencobaaa karena ini unikkk,4
bagus untuk di kunjungi,3
terakhir kesini udh hampir th yg lalu belum ada pantai gemah dan jls tempat ini masih buka hutan mangrove nya semakin lebat,5
mantaaap,5
mangrove nya masih baru sehat asrii kalo sore dapet sunset lebih bagus lagi bisa beli jagung juga buat kasi makan burung dan video ala ala,4
bagus cuma jembatan mulai ada yang rusak,3
kami tidak berkunjung ke hutan mangrove nya tapi berkunjung ke pantai cengkrong yang berada beesebwrangan dengan hutan mangrove pantainya bersih pasirnya lembut ombaknya kecil jadi aman untuk bermain ada beberapa warung yang menyediakan makanan khas pantai seoerti berbagai menu ikan dan juga makanan ringan lainnya seperti pop mie toilet rata ada disetiap warung tidak ada mushola secara umum namun tersedia di warung tsb dengan fasilitas yang cukup saja harga tiket rb jadi murah banget dengan harga segitu sudah bisa menikmati keindahan pantai,5
mantap pelayanan,5
siiiip,5
bagus tempatnya cmn pas kesana airnya gak ada keringpanas banget tp ada tempat neduhnya kok,4
sejuk di pagi hari,5
tidakbterawat,1
pantainya masih sepi jangan lupa beli ikan asap harga murah,5
oke,4
sangat indahh,2
pantai nya sedikit tidak terawat lumayan sepi tapi malah enak buat take foto video ombaknya tenang ada warung di pinggir pantai tp worth it buat bawa bekel pas kesana bareng rombongan makan soto rasanya bener kurang kaya makan sayur asem pun msh mending sayur asem es teh nya juga kurang banget dr segi rasa,5
tempatnya nyaman,5
indah,4
oke juga,4
lokasi sejuk rindang parkir luas toilet ada warung ada ombak landai buat nendacamping recomended,5
kesana pas hari jumat cuti bersama suasana sepi saran kalau ke sini bawa topi atau kacamata karena panasbanyak spot foto yang menarik,5
tempatnya indah,1
lanskapnya bagus pantai mangrove dan perbukitan untuk sampah memang perlu perhatian khusus ya,5
asri nyaman tiket murah,5
pemandangannya bagus tempat yang pas buat menikmati akhir pekan,5
sembari bersepeda mampir ke mangrove tapi sekarang tempat ini sangat dan sangat sepi dengan pengunjung seharusnya bisa di promosikan lagi tempat ini tetapi di tepi laut ini tetap ramai pengunjungnya,5
sejuk dan asri untuk refresing,5
