review_text,review_rating
kolam renangnya sudah bagus tapi saran jika ada les renangnya dikasi pembatas antara yang les sama umum biar ga keganggusaya kesana waktu ada les renang dan ya saya gabisa renang karena sudah full dipakai utk les renangsemoga dibaca tysm,3
kolam renangnya selalu dimonopoli kalo ada yang les renang kualitas air buruk banget lebih ke banyu ijo daripada banyu biru trus jarang banget dikuras dengan kaporit yang banyak banget saran klo ada yang les renang paling nggak dikasih tali pembatas lah setengah dikira kita yang umum nih nggak keganggu apa trus kuraslah itu banyak keramik pecah bahaya tau gak semoga dengan adanya komentar saya ini bisa segera berbenah sih edit nahh baru dikuras nih gercep yang punya tapi sayangnya belum ada solusi buat yang les renang masih sering mengganggu,2
banyak kutu air,3
bersih bagus rindang ramai pengunjung,5
air jarang dibersihkansangat kotor banyak hewan kecil gigitin kulit jadi gatal,1
ca kiem przyzwoity basen w sam raz na popo udniowy relaks,4
kolam renang banyu biru tapi airnya ijo,5
untuk pagi jam masih sepi jangan coba kesini agak siangan kayak dawet wkwk,5
tempat nyamantiket terjangkau,5
kualitas air kotor berlumut dan banyak kutubinatang kecilnya kurang perawatan aja utk harga masuk yg di tawarkan tidaklah sebanding lokasinya pun masih tergolong pedesaan terpencil,1
murah dekat kota view luar masih sawah dan kebun udara asri,5
bersih adem langganan kesini sama besti,4
murah meriah,5
sangat bagus,5
kolam renang bersih hanya saja mushola nya sangat kotor sering ada kotoran hewan padahal harusnya mushola bersih dan suci tolong lebih diperhatikan lagi ya,4
lumayan tapi kurang gede,5
good,5
banyak kutu,1
baik sekali,1
kolam renang nya cukup bersih nyaman dan asri ada gazebonya juga bisa untuk istirahat dan makan untuk kolam renang hanya ada ukuran m utk dewasa dan kolam untuk anak lebih aman antara kolam renang anak dan dewasa ada pagar pembatasnya harga makanan dikantin juga cukup wajar meskipun ada ditempat wisata,5
tempatnya bagusbanyak pengunjungnya tiap harisaya dari majalengka jawa barat terkesan dengan kolam renang banyu biru pokoknya mantaplah sukses selalu buat pemilik kolam renang banyu biru,5
rekomendasi pokoknya,4
rab maret hati hati untuk pengunjung anak anak di kolam anak beberapa keramik ada yg lepas,3
tempat lumayan cuma airnya terasa banget kaporitnya jangan lupa jaga bawaan masing jangan sampai kehilangan,5
air terlalu lengket terlalu banyak kaporit,1
menyenangkankamar mandi nya banyak jadi nyaman klu membersihkan diri setelah renang,4
lokasi masuk gang ikutin maps aja kesini weekday tapi rame krn emang lg holiday season nyediain sewa kacamata renang rb pegawai kurang ramah plss airnya terlalu berkaporit sampe kena lidah sakit ke idung idung jg gatau emang kaya gitu atau pas kesana emang baru aja dibersihin,3
hari ini kesana lagi untuk latihan renang sama anak udah waktunya perbaikan lantai dasar,4
ktmnya terjangkau aimya lumayan bersih sesuai namanya tempatnya enak utk nunggu anak renang kamar ganti bersih kalau hari minggu lumayan penuh kolam renangnya,5
kolam renang nya enak ada tempat duduknya juga disini ada penyewaan kacamata renang juga dan pelampung mungkin kamar mandi bisa lebih ditingkatkan karena ada yang bau,4
suasana nyaman asri dan bersih kolamnya pas mau ttup kya ownerny cek air jdi safety dan kenyamanan pngunjung diutamakanhrga trjangkau,5
tempatnya nyaman pertama kali renang disini pas abis d bersihkan pula hanya kemarin agak kebanyakan kaporit,5
kolam renang yang luas sangat cocok untuk anak melatih kemapuan renang nya apa lagi pelatih renang nya sangat baik dan taktik melatih nya sangat bagus,5
baik untuk untuk anakanak dan dewasa karena ada kolam dalam dan dangkal,4
today gonna clean water,5
sangat ramai waktu weekend air kolam kurang bersih,3
kolam renangnya bersih jam pagi sudah buka jadi bisa kesini pagi untuk yg menghindari keramaian di masa pandemi ini tempatnya juga oke ada kantin juga ada kolam untuk anak kecil,5
opsi terbaik selain kolam renang jwalita di trenggalek selain tempatnya lumayan bersih juga kualitas airnya lebih baik mungkin kedepannya bisa bangun sampai panjang meter,5
