review_text,review_rating
airnya kotor terus bikin kulit jadi gatal,3
kolamnya cukup bersih karyawan ramah,4
tempatnya sangat nyaman untuk keluarga berwisata aman dan ramah pengelolanya,5
aman dan nyaman bagi anak,5
tempat berwisata yang sangat terjangkau cocok buat ngadem saat cuaca panas,5
kesana waktu tutup jadi belum lihat dalamnya next ulasan diperbaharui,3
tempatnya bagus,5
tempat wisata dekat rumah harga tiket masuk terjangkau tempat aman lokasi g jauh dr jalan raya lumayan bisa nyenengin anak dengan budget yg aman buat kantong,4
cukup baik,5
mantab,5
bagus,5
keren,5
untuk wisata desa tempat ini cukup bagus khususnya buat anak anak tempatnya bersih fasilitas nya sudah cukup untuk anak anak berenang dan bermain anak saya suka,4
kalo mau ngadem silahkan datang berendam di bulan september,4
masih butuh tambahan arena bermain,3
gak usah jauh lah kalau mau liburan cukup dekat rumah saja sudah ada tempat bermain tempat nyaman htm juga murah meriah juga bisa berenang dengan air asli dari gunung penasaran yuk datang saja di taman waroe sumberbening lokasinya bisa cek di gmap,5
nyaman aman dan alamiah,5
taman bermain waror juga menyediakan aula pertemuan,4
lumayan buat nyantai,2
direkomendasikan untuk anak,4
tempat yang asyik,1
wahana rekreasi terbaru di kab trenggalek kec dongko tepatnya ada di desa sumber bening tempatnya ademnyaman pelayanan ramah tentunya dengan tiket yg sangat terjangkau,5
tempatnya cukup nyaman anak senang,5
airnya dingiinnn,2
tempat nyaman cocok buat liburan keluarga ada lokasi buat meetingacara juga semoga makin baik kedepannya sukses buat sumberbening,5
lumayan,5
saya suka banget,5
pembuatan taman bermain waroe,5
