review_text,review_rating
im visited here after covid and this place really make me feel in bali when i cant going to bali in that time,5
datang hari minggu jam pagi niat mau healing sama sarapan sama anak tapi nasi tidak ada katane adane nunggu jam mau grab nasi ndak boleh parah ini tempat,1
banyak spot foto yg indah karyawan nya ramah menu makanan n minumnya variatif dan harga terjangkau playground nya luas aman untuk anak,5
tempat renang dan bermain indoor untuk anak ada jual jajajnan dan minuman harga wajar dan terjangkau,4
tempat yang nyaman untuk refreshing bersama teman atau keluarga,5
pelayanan kurang cepat dan kurang fokus,1
fasilitas oke baiknya ada qris untuk memudahkan pembayaran,5
tempat main anak dg harga terjangkau dewasa rb anak rb under th free tempatnya bernuansa bali meski tidak begitu luas tapi cukup lumayan lah dg harga yg dibayarkan kolamnya hanya beneran utk main air ya klo yg mau berenang serius mungkin kurang ada tenant makanannya juga persewaan baju renang dan pelampung playground indoor jg ada tapi berbayar lagi so far cukup baik tapi sayangnya tidak ada kebijakan no smoking disini padahal wahana anak bapak yg nungguin anak pada ngerokok sangat disayangnkan krn tidak ada teguran ato mgkn memang diperbolehkan,4
perlu memperhatikan masukan konsumen yang kasih bintang seperti masalah parkir alat bayar diperbanyak debitqris yang ke restoran saja tidak perlu bayar tiket masuk pelayanan dan kualitas makanan perlu ditingkatkan info yg jelaslayanan perlu lebih ramah otentikroti bakar ya dibakar sirup jeruk jg dibilang jus jeruk dll masukan masyarakat sekitar perlu diperhatikan review kritis bintang akun asli review banyak dan bervariasi penilaian kadang lebih bagus buat usaha daripada bintang akun faketernakan yg punya review btw phd edufarm bisa jadi pilihan wisata masyarakat yang sedang berada di trenggalek tulungagung dan sekitarnya,4
lokasinya pinggir jalan gampang menemukannya adem asri kolam renang utk anakanak dan playground juga ada utk rekreasi recomended pokoknya makanan juga baik,5
ini cuma kolam renang buat anak kecil menurut saya memang ad pertunjukan leaknya dan pengunjung lain lumayan excited untuk foto dg leaknya makanannya ya bolehlah,4
tempatnya cukup nyaman tapi saran buat kentang gorengnya dikasih garam sedikit agar tetap ada rasa walaupun diberi saus overall oke sih,5
edu wisata bernuansa bali yang lokasinya di trenggalek masuk ke sini htm k saja dari pintu masuk sudah banyak patung bernuansa bali ada kolam renang beberapa palyground cocok kalo bawa anak anak ke sini di sini ada cafenya harganya cukup terjangkau namun kalo untuk varian menu masih kurang dan ketika pesan disajikan dalam box saja sendok garpu plastik mungkin masukan untuk menunya lebih beragam dan menggunakan alat makan yg ramah lingkungan,4
nuansa bali cuma kurang bau dupa saja,5
tempat bersih dan terawat nyaman untuk bersantai dg keluarga,4
tempat bersih nyaman toilet bersih makanan dan minuman juga enak terjangkau pegawai ramah,5
nyaman murah meriah anak senang kopi hitam rb mantab,5
suasana nyaman banget buat kumpul keluarga mungkin di pendopo perlu di tambahi kipas angin sehingga ketika full pengunjung tidak terlalu penat hawa nya overall is good dengan htm k,4
susah pembayaran gk bisa pake qris,4
suasana kek bali,5
gazebonya banyak banget sejuk fresh transportasi mudah tiket terjangkau pokoknya rekomendasi utk kantong pelajar dan keluarga,4
kesana karna review tugas kampus pas ujan deres banget tapi jadi bisa eksplor semuanya karna lagi sepi tempatnya bagus di desain ala bali ada kolam renang ruang meeting resto juga lumayan lengkap nuansanya baguss,4
enak kok tempatnyanyamanbersihpelayanan juga ramahparkir nyaman next agenda kesana lagitapi tolong dong menu nya ditambah lagi,5
miniatur bali,5
tempat santai berkumpul ma keluarga dengan permainan anak,5
nyaman senang buat family,5
kolam renangnya kotor berlumut,3
tempatnya nyaman dan asyik,5
tempat rekreasi edukasi buat anak,5
bagus trs d kelola dg baik biar makin rame,4
pemanfangan yang unik minimalis beserta resto makanan yang lezat murah tenpat bersih,5
ayo semangat berolahraga semuanya,5
cukup worth it untuk piknik ringan di seputaran trenggalek tiket masuk ribu untuk orang dewasa dan ribu utk anak di bawah tahun parkir mobil juga terjangkau cuman ribu makanan bervariasi dengan harga yg terjangkau utk ukuran tempat wisata utk kolam renang yg paling dangkal lantainya agak berlumut,4
nuansa pulau dewata dengan banyaknya wahana outbound untuk anak tersedia cafe dan kolam renang tersedia juga mushola didalamnya dan dekat dengan masjid tapi di bagian luar phd,5
sangat bagus tetapi harga makananya dikurangi sedikit,4
tempat yang nyaman untuk bersantai,5
tempatnya bersih indah ticket dan harga makanan terjangkau senang main ke sana,5
tempat rekreasi yang sesuai utk anak anak ada kolam renang dan ada playground juga di dalam hanya saja tempatnya agak sempit jadi kalau beramai ramai ya tempatnya keliatan penuh bgt ada resto juga dg harga yg affordable menunya enak enak toilet juga bersih dan cukup banyak,5
tempatnya nyaman buat santai keluarga fasilitas sangat menyenangkan buat anak the best,5
menariktenangbuat santai bersama keluarga,4
bagus untuk anakanak bermain,5
ada playground kolam renang khusus anakanak menyediakan makanan cafe kamar mandi bersih,4
ekpektasinya tempat luas banyak fasilitas yg menarik ternyata agak kecewa pesanan makan juga agak lama sampe x saya samperin semoga bisa berbenah lagi,3
tempat rekreasi dengan nuansa bali tempatnya bagus dan bersih di dalam ada playground kolam renang dan ruang laktasi,5
ternyata edufarmnya malah sudah pindah lokasi disana hanya ada kolam utk anak kecil dan resto kecewa krn tdk sesuai harapan tp kl bawa anak balita mungkin masih oke siihhh utk main di kolam dan makan,3
judulnya wisata media pembelajaran dan restoran tapi tak boleh harus beli tiket masuk kalau hanya mau makan di restorannya,3
tempat bersih dan nyaman tiket murah makanan enak,5
pertama kali berkunjung disini bersama keluarga diluar ekspektasi saya ternyata tempatnya bagus suasana bali dengan iringan degung balibanyak spot foto bagus dan memang ornamen serta bangunan di tempat wisata ini dibuat sedemikian mirip khas budaya bali tempatnya bersih rindang dan pegawainya ramah berseragam rapi permainan outdoor untuk anak serta kolam renang anak cocok untuk tempat berlibur yg tidak jauh dr kota trenggalek htm rb untuk dewasa anakanak ribu makanan cukup enak mungkin bisa ditambah variasi makanan berat buat menu diner ya kolam renang mohon untuk ditingkatkan kebersihannyabisa lebih baik itu saja review amatir dr saya semoga dapat dipertahankan atau dapat ditingkatkan lagitks,5
tempatnya enak bersih dan nyaman kalau sore sejuk dan juga makanananya enak tapi menu kurang banyak pelayanannya ramah nuansa seperti di bali rekomendasi untuk kumpul keluarga atau meating twmpatnya yg asri alami semoga phd selalu ramai setiap saan,5
tempatnya nyaman pelayanan ramah,5
tempat sangat nyaman untuk anak ada playground nya tiket terjangkau menu di dalamnya relatif terjangkau dan nasi gorengnya bikin kangen liburan yg akan datang akan berkunjung lagi insyallah,5
tempat pengunjung nya ramai,5
nuansa santai dan sejuk music backsoundnya kok musik sunda ya,4
pesanan lama jadinya,2
tempat santui,4
tempatnya nyaman masuknya murah sekali recomanded untuk wisata keluarga karyawan nya sangat ramah minusnya hanya jenis makanannya yang kurang beragam misal ditambah menu yang familiar seperti krupuk pecel atau es degan pasti lebih mantap apalagi kalau ada menu ikan bakar tambah mantap jaya,5
tempatnya sejuk banyak permainan untuk anaktempat untuk bersantai para pendamping anak yg bermain jumlahnya cukupmakanan nya enak,5
tempat yang bagus dan nyaman anak pasti suka sama tempat ini karena banyak tempat untuk bermain,5
makanannya terlalu mahal dan saya waktu itu memesan nasi goreng nasinya seperti sudah tidak layak makan dan nasi gorengnya terlalu polos popmie nya terlalu mahal kolam renang anak ada hewan yang menjijikkan kentang gorengnya mentah dan pelayanannya tidak ramah apa lagi masuknya mahal dan parkirnya terlalu mahal padahal cuma parkir sebenta,1
ada no wa yg bs dihubungi gak kk,4
oke,5
enjoy banget,5
nyaman bersih murah asik buat nyantai,5
rapat biar kayak pejabat,5
bagus sekali,5
nyaman,5
tempatnya bersih,4
tiketnya itu lho murmer banget padahal weekend anak ribu per orang dewasa ribu perorang makanannya enak harga standar,5
tempatnya bagus dan bersih ada kolam renangnya htmnya juga ekonomis,5
menarik,5
sayang tempat kurng luas,5
ramah,5
tempat wisata keluarga yg nyaman dan unik rasa bali view dan ornament yg menghiasi nya kalo bawa anak anak pasti happy disini krn playground nya bagus bersih dan kolam renang anak juga ada tiket murah makanan variatif dan terjangkau,5
tempatnya sebenarnya gak luas tapi cukup bagus lah ad kolam renang tempat bermain klo untuk playground bayar lagi kamar mandi juga bersih terawat semua pokok,4
wisata edukasi untuk keluarga sangat enak dan nyaman tempat nya,5
