review_text,review_rating
rekomendasi kalo untuk liburan apalagi bersama keluarga,5
bagus keren pantai nya tapi aku kesini pas lagi kotor ya sayang banget kalo yg di pasir putih nya aku belom mampir sih,5
ikan bakar fresh pantai lumayan bersih tidak ada uang rokok buat driver tidak ruang tungguistirahat driver padahal di pantai sebelah ada,2
pantai yg jg indah di sebelah pantai mutiaradg berbagai menu masakan lautmenambah daya tarik tersendiri,5
pantainya rame puas buat berenang tp sayang sampahnya kurang di kelola dg baikk,5
bagus pantainya makanan harga tidak terlalu mahal,5
pantainya bersih tertata rapi pengelola baik luarbiasa jajanan di tempat murah,5
recomend buat liburan sama bocil terbaik,5
kedatangan ke di pantai ini kali ini viewnya sangat cakep airnya bersih bs naek banana boat perahu dgn harga yg worth it banget kamar mandinya bersih semua kebersihan pantai terjaga,5
bagus banget,5
ramai dan adem,5
pantainya nyaman tidak terlalu ramai ombaknya tidak tinggi pemandangannya indah,5
pantainya terlihat bagus pada saat air pasang kalo pas surut jadi kering dan berkarang karang bisa juga eksplor karangnya kalo mau,5
good guys,5
tempatnya bersih trs rekomen bgt buat yg suka foto gitu,5
pantai alami indah dan cocok buat liburan bersama keluarga,4
hargai pelihara alam yg ada disekitar dimanapun berada sesungguhnya semua itu bagian dari diri kita,5
bayar dapat pantain menarik dan bersambung,5
cocok untuk keluarga,5
ke sini bersama rombongan rt bus tiketnya ribu parkirnya busnya ribu datang hari sabtu pantainya tidak begitu ramai tapi sayang hujan jadi banyak neduhnya pantainya bagus ombaknya tidak begitu keras jadi aman buat main anakanak sewa tikar ribu naik perahu ribuorang menit ada banana boatnya jugaa banyak penjual ikan bakar saya kemarin beli kakap asap ribu dapat tusuk makan di tempat seporsi ribu sambalnya kecap nasi ada penjual buah harganya murah saya sampai borong alpukat dll durian aja lho sekotak thinwall harga ribu,5
first time coba banana boat disinii pengalaman yang luarr biasaaa lautnyaa bersih pemandangannya syahduu,5
