review_text,review_rating
mantaps serasa private beach,5
pemandangan nya bagus harga makanan dan minuman juga murah seperti tapi akses jalan nya yang ekstrim kalau mobil atau motor tidak fit jangan kesini tapi kalau motor mobil prima bisa mudah,5
pantainya bagus tapi sayang rutenya ektrim fasilitas kamar mandi kurang cuma ada,5
pemandangan luar biasa bagus perpaduan sungai muara sawah binatang kerbu makanan murah tiketing murah sekali tapi sangat disayangkan akses ke sana sulit jalan kurang mendukung terutama yg mengandalkan google map dijamin akan muter gak karuan apalagi yg pakai setelan gm nya sepeda motor akan dimasukkan ke jalur sempit tanah dan semen jalan sempit dan tanjakannya wooowww banget pokoknya andalkan tm saja tanya manusia wakakaka tapi pantainya saya jamin sangat luar biasa,5
menarik,5
nyaman,4
indah banget tiketnya murah ada warung ada sewa tenda,5
kontur jalan sudah sangat bagus namun sangat curam di beberapa titik disarankan untuk memakai kendaraan bergigi sangat tidak disarankan menggunakan matic karena rawan rem blong kampas panas,5
kereen banget pantainya kayak di savana sumba ada kandang kebo disitu kami sewa tenda seharga rb sekalin jasa pasangnya banyak warung dengan harga terjangkau pantai ya adem bgt definisi sungai laut bukit jadi satu sayang bgt kamar mandi dan wc hanya unit jalan menuju pantai kebo sangat extriiiim ngeri next kalau kesana lagi kata warlok lewat trenggalek kota lalu ke panggul so far keren dan bikin betah,5
luar biasa sangat indah tempatnya petugasnya sangat ramah orangnya welcome sangat nyaman sekali buat camping keluarga,5
tempatnya asik jalan lumayan tracking bawa mobil htm ribu ada penyewaan tenda dan makanan disana harga terjangkau kalau nginap di camp atas ada stop kontak jadi bisa ngecas,4
fasilitas lengkap kamar mandi musholla parkir warung jam tiket masuk jika memarkir mobil di area camping sebesar rp view indah ada beberapa spot menarik spot camping di bawah pohon kelapa spot camping di pinggiran aliran sungai spot pantai yang luas direkomendasikan lewat kecamatan panggul karena jalannya lebih mulus daripada lewat munjungan track jalan ketika mendekati pantai sangat ekstrim diharapkan pengemudi dan kendaraan dalam kondisi fit jalan lumayan sempit dengan salah satu sisi bagiannya adalah jurang meski sudah disediakan tempat sampah di area camping beberapa sudut masih terlihat sampah pengunjung yang bebal membuang sampah sembarangan recommended untuk dikunjungi bersama orang tersayang,5
jalannya sangat sulit kalo lewat kampak kalo lewat jalur trenggalek kediri aman enak poll gak nyesel kesana cakep poll,5
pantai yang baru dibuka kurang lebih th yang lalu dan dikelola oleh pokdarwis ini menyuguhkan sekitar kerbau yang dibiarkan merumput disekitar area parkir tidak ada retribusi ketika kami berkunjung hanya perlu membayar parkir dan dikenakan k per tenda jika menghendaki untuk camp ada mushola lengkap dengan alat sholat disebelah kiri pos retribusi harga makanan dan minuman cukup murah untuk area wisata bahkan menurut saya terlalu murah sih sudah makanannya murah free wifi dan charge hp pula disetiap warung disekitar area pantai pantai yang sangat ramah pengunjung hanya saja harus mengantri panjang ketika mau ke kamar mandi yang hanya ada pintu dan pintu diantaranya perlu perbaikan,4
yang membuat maps kaya mengecewakangara ikut maps nyasar mulu,1
pemandangan bagus kebersihan kurang perawatan alat buat camping kurang semoga lebih baiksebaik alamnya,3
pantai bagus buat camp fasilitas lumayan lengkap sinyal telkomsel masih jangkau disini tidak disarankan lewat munjungan apalagi motomobil matic disarankan lewat panggul meskipun muter tiket masuk kmobil untuk harga makanminum di warung terjangkau,4
mobil bisa masuk ada mushola kamar mandi htm tenda k warungnya juga adaa harganya termasuk terjangkau poll viewnya masyaallah sekalii jalannya agak tricky,5
aman nyaman nyamplenh,5
bagus buat champing dengan teman teman,4
serasa pantai pribadi masih sepi akses jalan perlu konsentrasi ada sewa tenda dan kursi santai cuma bayar parkir aja motor tidak ada retribusi kerbaunya banyak degan utuh ribu tidak ada menu ikan mie instan dan gorengan,5
bagus tapi banyak sampah di tepi sungainya waspada juga dengan jalan nya,5
pantai yg indah tempat wisata yg nyaman,5
view lengkap fasilitas lengkap pantainya kurang terawat,5
pantai terbaik yg pernah saya kunjungi tp sepertinya sdh tak ingin mengulang kembali dengan mobil pribadi jalan kesini bener bener membuat trauma,5
