review_text,review_rating
lumayan lah harga ngepas juga,4
waterpark jaas permai merupakan salah satu destinasi wisata air di trenggalek yang paling lengkap menyediakan banyak sekali wahana permainan air berbagai jenis prosotan dll disiji juga tersedia ruang ganti dan toilet yang sangat memadai selain itu tersedia juga play groun untuk anak yang lagi males basahan persewaan pelampung dan perlengkapan renang sederhana juga tersedia disini untuk tiket harganya relatif terjangkau rupiah,5
prosotan yg biru kuning yg tinggi ga dinyalai pas tanya ke mas penjaga katanya dinyalai sore tapi jawabnya kagok dan smpe balik tutup ga dinyalai tanya sama bapak petugasnya jawabnya kagok juga katanya pas minggu tapi ga ditulis kalo dinyalai hari minggu bulan yg lalu papa mama adek saya juga pas weekdays kesini dinyalai kok didepan harusnya tiket di kasi ini engga dikasi petugas nya mau ambil untung atau gmn gatau wkwk pdhl bahar karna lebaran tapi petugas loketnya ga ngasi tiketperosotan ga dinyalai petugas ditanyai selalu kagok ga pasti banyak alasan padahal saya dr dulu suka kesini dr awal dibangun,1
mohon infonya apakah tempat ini benar masih buka sedang merencanakan berlibur kesini tombongan bersama anak dengar kok sudah tutup sekali lagi mohon informasi sebenarnya terimakasih,5
weekdays kperson anak di atas tahun bayar yaa kalo di bawah itu msh gratis bersih kamar mandi dan tempat gantinya jg bersih kadar kaporit cukup rendah ga bikin perih di mata ada banyak gazebo lokernya sepertinya tdk difungsikan ada waterslide yg ga diaktifkan untuk ticketting cukup ramah tp staff di dalam ramah kedalaman kolam di cm dan cm,5
suka banget sama kolam renang nyaaaaaaa,5
mohon untuk lebih diperhatikan pada lantai dipingir kolam banyak yang tajam atau belum disemen lalu pada lantai yg bekas tambalan jg banyak yg sudah rusak lagi paku di gazebo juga mohon diperhatikan karena banyak yg muncul keluar akibatnya banyak celanabajutas yg kecantol dan sobek sambungan perosotanslide mohon diperhatikan juga terdapat beberapa slide yg tidak rata overall good kamar mandiganti bersih ada playground cafenya mantap,3
tiket rb kemahalan untuk di desa dibanding daerah lain tp air jernih banyak gazebo banyak seluncuran dll sebanding dg harganya,4
gilakkk yaaa tiket rebuuuya walaupun high season ga segitunyaa jg cari untung harga biasa aja rebuu yakalii naik x lipattt,1
tempatnya bersih airnya jernih banyak gazebo buka jam pagi sore tiket masuk rb sewa ban besar rb sewa ban kecil rbmie sedap tambah telur rb,5
bagus tapi tergolong mahal untuk harga saja tapi untuk kualitas jempol,5
water park terbesar di trenggalek harga murah hanya satu tempat dengan hotel jaas permai semoga bertahan selama lamanya agar saat berlibur ke trenggalek ada wahana permainannya,5
tambah bersih dateng pas weekdays dan sudah sore jadi sepi berasa berenang private,5
waterparknya hotel nih nyaman ukuran cukup untuk bermain air anak anak banyak perosotan banyak gazebo jg untuk ortu menunggu htm terjangkau,4
tempatnya bagus tapi sayang ada sesuatu yg tajam didalam kolam sampek kaki saya berdarah sakit bgtt mohon di perbaiki demi keamanan anak anak,2
tutup jam berapa,3
tiket rb mahal banget ndak masuk akal di kota kecil wahana seluncuran juga ndak dinyalakan pelayanan buruk sibuk cari untung sampek lupa pelayanan terhadap konsumen burukkk,1
sabtu rb kalau minggu rb dpt makan semua tempat bersih,5
petugas di ffee shop nya ada yang kurang ramah penukaran voucher makan tidak segera dilayani dan tempat makan berkuah panas seharusnya tidak menggunakan styrofoam,3
nyaman,5
sekarang harga tiket jauh lebih murah yakni korang dan free tiket untuk yang lebih dari orang kalau gak salah kamar mandi wc bersih luas view yg bagus apalagi waktu siang cerah bisa untuk have fun dan latihan renang ringan,4
ribusaja murah meriah,4
