review_text,review_rating
tebing lingga dekat selalu dengan rumah istri saya,5
recomended untuk tempat bersantai melepas penat oksigenya seger alami banget cuy akses jalan ke lokasi juga sudah bagus good views pokoknya hehe,5
impressive stone monolith,5
ngg sia dateng jauh kesiniii sangat puas sekalii,5
salah satu wisata pemandangan bukittebing hamparan tebing yang indah nan mengagumkan bagi pecinta alam jalan aksesnya agak kecil tapi mobil seukuran pickup truck box masih bisa masuk,5
padahal indah sayang sudah tidak terurus dan rusak,2
sayang jauh jauh dari mojokerto eh ternyata tempat wisatanya terbengkalai,5
pemandangan bagus lokasinya dibawah tebing yang menjulang tinggi,5
jalannyaaa masyaallah,3
sebenarnya pemandangannya sangat baguss warung juga tertata tapi sudah tidak di operasi kan lagi sayang sekali tempatnya dingin segar anak saya aj betah dsni tapi ya itu udah ga beroperasi lagi harusnya jangan ad tiket masuk dulu kalau akses jalan aja minim dan pelayanan kurang baik jadi ber akhir seperti in mungkin soalnya pas jalan masuk nemu kaya pembayaran loket masuk jalan masuk cuma bisa dilewati mobil presss,3
sayang sekarang sudah tidak terurus,5
sangat bagus pemandangannya apalagi di pagi hari,5
sekarang tempatnya terbengkalai sayang sekali sekarang kotor dan tidak seramai dulu,5
menakjubkan bagaikan lukisanbagus bgtmenawan,5
tempat rekreasi alam yang sangat exotik dengan pemandangan gunung yg sangat mempesona,5
tepat di belakang rumah om dan tanteku keren masih asri dan alami,5
sejuk dan asri,4
wisata alam yang sangat indah,5
kesini pas jam makan siangpersen nasi goreng sama jahe susuitik itik itik mantep,4
nyaman indah sejuk,4
bagus tenpat wisatanya,5
menyenangkan,5
indah,5
wisata alam yang ada di desa nglebo kec suruh kab trenggaleksuasana yg sejuk dg udara pengununganasri alami dan banyak wahana yg bisa anda coba dan banyak menu di warungwarung yg ada di wtl anda mau bersantai sambil bernyanyi karaoke juga adakolam renang anakspot selfymonggo yg mau berwisata silahkan ke wisata tebing lingga wtl,5
gak sengaja ke sini,4
jalan menuju lokasi sangat baik meskipun menanjak cukup curam lokasi wisata kurang terawat tetapi tetap ada yg berjualan makanan dan ada beberapa warung dan cafe,3
sangat indah,5
lumayan buat tempat menyendiri,3
mlm tahun baru ada perayaan karawitan acara mlm tahun baru dan penyambutan kapolsek kec suruh yang baru saya dan crew karawitan saya yaitu karawitan lestari budoyo dan putri lingga yang meramaikannya,5
tempat nya asik dan nyaman pemandangan nya juga indah,5
pemandagan bagus hanya akses jalan masuk tergolong sempit utk roda,4
yuhuiiii wisata dan budaya bersatu aplikasi peduli lindungi juga sudah aktif jempol buat warga dan pemerintah setempat,5
adem asoy,5
ada taman bermain untuk anak ada gazebo untuk bersantai ada warung makanan,5
bagus alamnyadulu pernah buat panjat tebing cocok untuk wisata alam,5
guuuut,5
bagus,4
tujuan wisata baru di trenggalek tempatnya lumayan bagus ada flying foxnya juga,5
back to nature,5
pengalaman menarik sebuah tebing berdiri tegak,5
tebing lingga merupakan sebuah tempat wisata yang terletak di desa nglebo kec suruh kab trenggalek menyajikan pemandangan alam yang indah dan asri tiket masuk terjangkau dan ada cafe di area wisata recomended untuk wisata bersama keluarga,5
asyik tempatnya bisa utk berkemah mobil bisa sampai di lokasi,5
