review_text,review_rating
ok bagus,5
sayang sekali tempat bagus begini jarang ada yang tau padahal satu jalan kalau ke prigi ke jls ke sana siang hari pas hari libur tapi sepi sekali tidak ada pengunjung lain selain kami parkir motor bisa titip ke rumah warga rb tiket masuk rborang perjalanan lumayan melelahkan disarankan membawa bekal minum atau cemilan tapi sampah jgn dibuang sembarangan pertama kali masuk ke gua dan ini bener menakjubkan bagus sekali track mungkin sekitar m tpi aman jalurnya sudah dibuatkan tangga tapi sayang sekali gak bisa lihat lubang matahari karena waktu sudah mepet,5
sangat menarik untuk ber libur,5
saya sarankan membawa masker karena guanya sedikit beraroma kuat,5
padahal goa nya besar dan bagus aksesnya juga sangat mudah dekat dengan jalan raya tapi kenapa sepi ya pas aku kesana tempatnya kosong gak ada orang sama sekali gak ada orang jualan juga agak horor juga kalo eksplor ke dalam goa sepi goa bisa di eksplor tanpa senter goanya sudah agak terang tapi semakin ke dalam semakin gelap dan licin banyak kotoran kelelawar di melapisi seluruh sudut goa kalo sudah mencapai sungai gelap di pojokan jangan dilanjut dah kotor banget soalnya banyak kotoran kelelawarnya bagi yg suka goa tempat ini harus di kunjungi spot fotonya juga lumayan banyak,5
dtg sabtu jman msih sepi gua ny luas ad lampu tp disarankan bawa senter spy bs leluasa melihat,5
pedagang ramah dan sembako dan snack komplit,5
indah banget tpi sepi pengunjung,4
tempat yg sangat estetik yg suka horror sebaiknya berkunjung di jam,5
eksotik,5
tempatnya bersih dan tertata,5
sangat potensial untuk dikembangkan untuk wisata edukasi dan minat khusus bat watching pengamatan kelelawar ketika keluar atau ketika kelelawar masuk goa guide perlu di tingkatkan kapasitasnya untuk menginterpretasi fungsi penting kelalawar sebagai pemakan serangga yang membantu pertanian dan kesehatan manusia analogi sederhana bahwa di dalam goa itu ada jutaan kelelawar dengan beberapa koloni dimana berat satu kelelawar pemakan serangga hingga gram per ekor jutaan koloni itu sebanding dengan ratusan ton beratnya sebanding dengan puluhan ekor gajah kuranglebih seperti itu di lorong masuk harusnya bisa di buat informasi tentang jenis kelelawar foto atau video sejarah penemuan goa dll karena goa juga cukup dalam emergency plan kalau terjadi banjir bawah tanah dan gempa bagaimana rombongan sedikit dengan guide dan lampu penerangan senter kepala dapat menjelaskan juga hidupan liar di tempat gelap misal serangga atau fenomena alam lainnya semoga terus maju wisata edukasi trenggalek dan meningkatkan ekonomi warga sekitar,5
jujur miris dulu rame tapi sekarang sepi banget cuma ada keluarga saya doang sama ada ibu penjual kasihan jualannya nggk ada yg beli saat masuk goanya ternyata lampunya mati jadi nggak bisa masuk lebih dalam lagi,5
sngat bagus saya pernah ke sana,4
pengen kesana lagi klo dah plng indo skrng lagi ditaiwan dlu pernh kesana pas klas abis kelulusan dah lama bgt klo gk salah tbn,5
kalo berangkat cuma ber urungkan niat kalian kesini kesana hari minggu sekitar jam sepiii bgt cuma kita ber saja tambah ibuk penjual satu orang ditambah tempat yg sangat tdk terawat menambah kesan horor sekali saking sepi dan horornya kita mengurungkan niat untuk masuk goa dan petugasnya sama sekali tdk ada inisiatif untuk menemani pdhl ada sekitar petugas yg jaga duduk manis di warung,1
mantap,5
obyek wisata alam sangat baik untuk edukasi anak perlu dukungan pemerintah daerah untuk dipromosikan lebih luas,5
kereennn jangan ragu kesini keren banget tempatnya,5
berkunjung hari minggu sekitar jam suasana masih sepi tempat parkir luas untuk r ribu tiket masuk ribu mushollah cukup luas dan pedagang mamin ramah dan harga terjangkau seperti es campur rb bakso es jeruk dll untuk menuju ke goa melewati jembatan rimbun sejuk pedagang oleh oleh menjajakan dagangannya ramah dan harga terjangkau seperti salak pondoh gatot kering manco thiwul kering nangka pisang masih ada lagi terdapat papan peringatan didalam goa suasana dingin indah dan sekitar meter dari mulut goa sedikit becek mungkin karena musim hujan tapi masih aman untuk dilewati jadi harus hati hati ditempat peristirahatan ada penjaga goa beliau mengetahui sejarah goa saran dari penjaga goa lebih baik berkunjung di musim kemarau nah pas keluar dari goa sudah ramai pengunjung bahkan ada bus pariwisata jaga kelestarian alam dan selalu jaga kebersihan lingkungan,5
tempat yg sejuk dan asri,3
penerangan didalam goa cukup memadai tracking menjadi mudah dan aman dengan adanya jembatan railing dan papan peringatan tempat sampah dan wc tersedia semoga kedepan makin maju dan lebih banyak pengunjungnya,4
kalau pulang ke trenggalek pasti nggak bakalan lupa main kesini,5
tempat wisata tidak terawat,1
lumayan bagus tempatnya,5
good,5
bagus,5
bagus tapi sayang sepi peminat mungkin di trenggalek banyak destinasi wisata jadi nya yang dulu udah bagus jadi kyak mangkrak padahal murah tiketnya cuma ribu aja,5
wisata goa yang sudah tertata pengalaman unik exciting jalan masuknya sudah di semen,4
sungguh sangat menakjubkan,5
mantap,4
sengaja ngajak anak kesini karena belum pernah liat gua tempatnya cukup representatif pemandangan dalam gua juga cukup bagus lampu penerangan ada beberap yg mati saran kalo kesini bawa senter jalan cukup licin karna lembab untuk yg punya masalah pernafasan ada baiknya bawa tabung oxygen mini karna semakin kedalam udara terasa tidak bersahabat overall bintang untuk tempat ini,5
bagus dan luas namun masih sepi pengunjung,4
goa yang sangat besar dan panjang,4
nyaman dan amanah,5
tempat wisata yang pas saat liburan,5
eksotis,5
zajebista jaskinia wielka i pi kna na pewno trzeba to miejsce zobaczy b d c w okolicy,5
tempat terbaik bagi penyuka goa dan bebatuan terutama stalagmit dan stalagtit,5
tempat berwisata bagi yang suka explore alam kurang disarankan untuk anak anak dan orangtua,5
seru buat hiking fasilitasnya juga udah banyak diperbarui aksesnya jadi lebih proper sayangnya masih sepi padahal areanya depannya luas dan potensial saran sebaiknya ke sini pakai sandalsepatu yg memang utk aktifitas outdoor krn tracknya makin masuk ke dalam goa makin licin,4
indah,5
bagus,5
bagus,4
bagus tapi hati yaaaa licin,5
mengajari cucu tentang bentang alam berupa guo lowo,5
mungkin bukna tujuan wisata favorit jadi sepi meskipun hari libur sy tidak masuk ke guanya tp kata anak pemandangannya keren di dalam gua bau kotoran kelelawar cukup menyengat disarankan menggunakan masker,4
bersih dan bagus tempat nya,5
melihat keindahan batuan yang terbentuk begitu indahnya apalagi tempat ini dikelola dengan baik menambah kesan indah digoa kalo soal bau kelelawar karena goa ini dihuni banyak kelelawar jadi ya sepantasnya bau kas kelelawar tapi tidak menghilangkan kesan indah nya biaya masuk murah ada taman bermain untuk anak jika yang tidak kuat dengan baunya mungkin akan sedikit sesak bahkan mungkin ada yg muntah karena emang bau banget tapi untuk lokasi goa sangat indah menurut saya,5
menyusuri goa terpanjang se asia tenggara rasanya amazing,4
goa yang besar dan dalam diujung terdaoat sarang kelelawar sesuai namanya agar hati hati lantai cukup licin khususnya diujung sarang kelelawar,5
tempatnya keren dan tertata pengalaman baru bagi yg suka wisata penjaga pak kasidi sangat mengerti sejarah,5
