review_text,review_rating
bagus,5
pantainya indahtidak ramai syahdu,5
pantainya bagus ombaknya cukup besar pas dateng pagi jam an jd masuk gratis n masih sepi enak trasa punya pantai sendiri ada air terjunnya jg kirain jauh dr pantai trnyata tidak,5
pantainya masih sepi bersih bagus banget ada air terjunnya yg wow jadi kalo kesini berasa lagi wisata di dua tempat masyaallah,5
pantai tersembunyi di trenggalek posisinya sebelum pantai taman kili kili pantainya eksotis sepi cocok untuk menyendiri kalau sunrise kayanya nyaman kebetulan waktu itu jam udah ga ada petugas jadi saya masuk gratisan dan parkir gratisan,5
pantai bagus ada air terjun kolam renang anakanak tp sayangnya kurang terawat,3
view keren abis,5
tiap tahun klu mudik pasti nyempetin berkunjung disinibagus masih alamiparkir luas klu ke pantai pelang saat lebaran disepanjang jalan menuju pantai ada suguhan pisang yg boleh diambil scroll gratis cek vidio,5
pantainya indah subhanalloh sebanding dengan perjalanannya air terjunnya juga indah untuk pengunjung mohon jaga kebersihan jangan buang sampah sembarangan sayang jika pantainya numpuk sampah untuk pemerintah trenggalek mohon diperhatikan lagi tempat wisatanya supaya lebih indah dan terawat,5
mantap,5
wisata pantai dan air terjun yang terletak di area trenggalek pacitan sangat indah htm k orang air terjun nya aman untuk anak anak bermain karena pijakan batu batuannya tidak licin dan landai jalan menuju air terjun juga sangat mudah sangat di rekomendasikan untuk wisata keluarga air terjun ini melalui proses bertahun tahun tahun bisa merubah lumut tanah dan akar pohon menjadi batu tapi sayang ada beberapa remaja yang datang dan merusak mengambil akar pohon yg jadi batu saat saya datang ke sana tolong petugas lebih sering kontrol keliling dan menindak tegas pelanggaran seperti tersebut demi keselamatan dan kelestarian lingkungan di area wisata,5
air terjun di pantai pelang merupakan salah satu tempat terfavorit aku pemandangan di sana sangat elok sekali bisa buat fotoaesthetic refreshing sangat cocok sekali untuk dijadikan solusi untuk hari liburan kita,5
okke,5
pantai relatif bagus dan tidak terlalu kotor,5
pantai yang sangat sangat asri dengan pemandangan dan panorama yang indah juga ada air terjun yang sangat ndah sangat cocok untuk bersantai dengan kerabat atau keluarga,5
alami,5
sepi kurang terawat,2
bagus tambah bersih,5
indah pantainya,1
salah satu destinasi wisata pantai andalan kota tercinta trenggalek,5
sanagat luar biasa,5
suasananya nyaman n pemandangan pantai yg menawan hati,4
warung tunggal rasa,5
good recommended beach,5
kurang perawatan,3
pantai yang sangat indah masih bersih alami sayang jalur transportasi tunggal g terhubung ke pantai yg lain sarana dan prasarananya masih minim sekali,5
pantainya kereeeeen sangat luas,5
aaik asrimurah seharian di sini kagak akan berasa lama,4
tepi laut yg amat indah dan air terjun yg amat sejukjuuuooos tenan nda,5
pantai luas dan nyaman banyak orang yng berkemah disana juga dekat dengan air terjun,3
pantai paling bagus tetapi sayang sepi pengunjung ada air terjunnya juga bagus untuk spot foto,5
agak kotor sih tapi view lautnya baguuuus,4
sangat membantu,5
panas pantainya untuk akses jalan kurang okebecek masih tanahpak kepala daerahnya gmn se gak d dukung sarana wisatanya uda d buatin jls lo pak tinggal anda kasi fasilitas untuk jalannya jaga kebersihan aja se banyak sampah,4
sungguh indah pesonamu pelang beach pantai yg masih alami bngt,5
wisata pantai yang bagus,5
