place_name,review_text,review_rating
tebing lingga,tebing lingga dekat selalu dengan rumah istri saya,5
tebing lingga,recomended untuk tempat bersantai melepas penat oksigenya seger alami banget cuy akses jalan ke lokasi juga sudah bagus good views pokoknya hehe,5
tebing lingga,impressive stone monolith,5
tebing lingga,ngg sia dateng jauh kesiniii sangat puas sekalii,5
tebing lingga,salah satu wisata pemandangan bukittebing hamparan tebing yang indah nan mengagumkan bagi pecinta alam jalan aksesnya agak kecil tapi mobil seukuran pickup truck box masih bisa masuk,5
tebing lingga,padahal indah sayang sudah tidak terurus dan rusak,2
tebing lingga,sayang jauh jauh dari mojokerto eh ternyata tempat wisatanya terbengkalai,5
tebing lingga,pemandangan bagus lokasinya dibawah tebing yang menjulang tinggi,5
tebing lingga,jalannyaaa masyaallah,3
tebing lingga,sebenarnya pemandangannya sangat baguss warung juga tertata tapi sudah tidak di operasi kan lagi sayang sekali tempatnya dingin segar anak saya aj betah dsni tapi ya itu udah ga beroperasi lagi harusnya jangan ad tiket masuk dulu kalau akses jalan aja minim dan pelayanan kurang baik jadi ber akhir seperti in mungkin soalnya pas jalan masuk nemu kaya pembayaran loket masuk jalan masuk cuma bisa dilewati mobil presss,3
tebing lingga,sayang sekarang sudah tidak terurus,5
tebing lingga,sangat bagus pemandangannya apalagi di pagi hari,5
tebing lingga,sekarang tempatnya terbengkalai sayang sekali sekarang kotor dan tidak seramai dulu,5
tebing lingga,menakjubkan bagaikan lukisanbagus bgtmenawan,5
tebing lingga,tempat rekreasi alam yang sangat exotik dengan pemandangan gunung yg sangat mempesona,5
tebing lingga,tepat di belakang rumah om dan tanteku keren masih asri dan alami,5
tebing lingga,sejuk dan asri,4
tebing lingga,wisata alam yang sangat indah,5
tebing lingga,kesini pas jam makan siangpersen nasi goreng sama jahe susuitik itik itik mantep,4
tebing lingga,nyaman indah sejuk,4
tebing lingga,bagus tenpat wisatanya,5
tebing lingga,menyenangkan,5
tebing lingga,indah,5
tebing lingga,wisata alam yang ada di desa nglebo kec suruh kab trenggaleksuasana yg sejuk dg udara pengununganasri alami dan banyak wahana yg bisa anda coba dan banyak menu di warungwarung yg ada di wtl anda mau bersantai sambil bernyanyi karaoke juga adakolam renang anakspot selfymonggo yg mau berwisata silahkan ke wisata tebing lingga wtl,5
tebing lingga,gak sengaja ke sini,4
tebing lingga,jalan menuju lokasi sangat baik meskipun menanjak cukup curam lokasi wisata kurang terawat tetapi tetap ada yg berjualan makanan dan ada beberapa warung dan cafe,3
tebing lingga,sangat indah,5
tebing lingga,lumayan buat tempat menyendiri,3
tebing lingga,mlm tahun baru ada perayaan karawitan acara mlm tahun baru dan penyambutan kapolsek kec suruh yang baru saya dan crew karawitan saya yaitu karawitan lestari budoyo dan putri lingga yang meramaikannya,5
tebing lingga,tempat nya asik dan nyaman pemandangan nya juga indah,5
tebing lingga,pemandagan bagus hanya akses jalan masuk tergolong sempit utk roda,4
