name,review_text,review_rating,review_datetime_utc
Desa Wisata Duren Sari Sawahan,Jos,5,05/14/2025 23:36:04
Desa Wisata Duren Sari Sawahan,Definisi Surga di Bumi. Damai Sejahtera,5,04/05/2025 03:29:01
Desa Wisata Duren Sari Sawahan,"Makanan enak, durennya ga ada yg gagal.
Tempatnya sejuk, santai",5,03/06/2025 16:02:09
Desa Wisata Duren Sari Sawahan,"Destinasi yang luar biasa untuk pecinta alam dan durian.  Beragam varietas durian dapat ditemukan disini, dengan citarasa yang beragam. Wisatawan dapat berjalan-jalan di hutan durian, bermain di aliran sungai, dan belajar tentang budidaya durian dari petani lokal.",5,02/18/2025 08:07:04
Desa Wisata Duren Sari Sawahan,"Asri, sejuk, bersih.
Suasana khas pedesaan pegunungan.
Sayangnya, pas main gk musim durian.
Jd blom bisa ngrasain sensasi duriannya.",5,01/27/2025 08:18:42
Desa Wisata Duren Sari Sawahan,"baru pertama kali kesini. kedan pertama menyennagkan sekali dari tata letaknya, view nya bagus pas deket sungai... palagi pas pohon duriannya berbuah. Makanannya juga enak",5,01/05/2025 11:55:43
Desa Wisata Duren Sari Sawahan,"Seru sekali outbound di desa wisata duren sari, apalagi pas musim durian lebih mantaaff",5,07/10/2024 01:36:32
Desa Wisata Duren Sari Sawahan,Asri dan bersih,5,06/14/2024 05:22:44
Desa Wisata Duren Sari Sawahan,"Trafiłem tu przypadkiem, miejsce w którym uprawia się duriana. Polecam zobaczyć okolice, ludzie są uprzejmi i gościnni. Raz w roku odbywa się tutaj festiwal duriana...",5,05/13/2024 06:58:48
Desa Wisata Duren Sari Sawahan,Nice,5,05/09/2024 11:15:06
Desa Wisata Duren Sari Sawahan,"tempat yang nyaman untuk merefresh pikiran karena area air sungai yang bersih dan tenang, juga untuk mencari referensi makanan tradisional yang lezat",5,05/08/2024 08:36:44
Desa Wisata Duren Sari Sawahan,"Tempatnya sangat indah dan masih asri..
Apalagi makanan khasnya sangat ngangenii",5,05/07/2024 02:29:58
Desa Wisata Duren Sari Sawahan,Pusat buah durian di trenggalek,4,04/16/2024 09:17:15
Desa Wisata Duren Sari Sawahan,Gak rugi jauh2 dr malang....makan durian sepuasnya ber 3 hanya habis 100rb....dan plg msh bawak 250rb bagasi mobil Almaz ku penuh😅🤩👍👍👍,5,03/13/2024 04:53:54
Desa Wisata Duren Sari Sawahan,Durennya bagus²,5,02/27/2024 17:02:51
Desa Wisata Duren Sari Sawahan,"Indah, sejuk, nyaman bener2 bikin suasana hati jadi tenang👍",5,02/15/2024 21:52:36
Desa Wisata Duren Sari Sawahan,Sungguh mengesankan,5,01/05/2024 16:44:08
Desa Wisata Duren Sari Sawahan,Natural beauty,4,01/05/2024 00:51:44
Desa Wisata Duren Sari Sawahan,Airnya jernih dan alami,5,08/20/2023 14:51:36
Desa Wisata Duren Sari Sawahan,"Layak dikembangkan lbh besar lagi, wahana diperbanyak apalagi jika ada lahan untuk pelestarian panahan tradisional",5,08/02/2023 02:38:24
Desa Wisata Duren Sari Sawahan,Joss mantap durianya uenak..pelayanan sangat memuaskan..sangat rekomended,5,07/27/2023 03:30:01
Desa Wisata Duren Sari Sawahan,Wis pokoke top,5,07/24/2023 00:01:40
Desa Wisata Duren Sari Sawahan,"Salah satu dari 75 desa wisata terbaik indonesia.
Full durian, ada lebih dari 4 mjenis durian di sini.  andalannya durian ripto dan durian pemenang kontes durian 2019.
Penggemar durian kudu merapat.",5,07/08/2023 14:03:21
Desa Wisata Duren Sari Sawahan,Durenya mantep,4,11/12/2021 03:37:19
Desa Wisata Duren Sari Sawahan,"Wisata yang wajib dikunjungi untuk yang suka suasana alami, makanan tradisionalnya khas, river tubingnya safety, dan yang paling bikin excited adalah kebun duriannya hingga 100 hektar 👏👏👏👍👍",5,04/05/2019 14:04:00
