name,review_text,review_rating,review_datetime_utc
TAMAN WATU KANDANG,Rivertubing seru,5,04/12/2025 13:14:06
TAMAN WATU KANDANG,Teman pnkasman yg ngelola,5,03/15/2025 09:28:03
TAMAN WATU KANDANG,Wisata watu kandang desa Pandean kecamatan dongko trenggalek.pemandangan yang bagus dan juga sungai yang bagus buat wisata arung jeram,5,02/14/2025 23:52:09
TAMAN WATU KANDANG,Kuli,4,12/10/2024 10:14:31
TAMAN WATU KANDANG,Aku kesini2 gara2 nnton sinden gaib gaes,5,06/22/2024 14:03:51
TAMAN WATU KANDANG,Abandoned.......hampir setiap wisata desa ramai pada awalnya saja.....banyak fasilitas yg tidak berfungsi......spot2 tertentu banyak yg lapuk rusak d makan rayap......perlu perawatan berkala....... pemandangan alam indah suasana sejuk segar sungai jernih dan alami..... mantap,5,05/15/2024 12:21:51
TAMAN WATU KANDANG,Tempat yg indah untuk d kunjungi,5,05/11/2024 03:31:09
TAMAN WATU KANDANG,"Tempatnya bagus, sejuk, airnya jernih, tapi ketika habis hujan biasanya kecoklatan, aksesnya sudah bagus, aspalan, dekat bengkel jika memerlukan.",5,04/20/2024 07:18:07
TAMAN WATU KANDANG,Akurat,5,03/31/2024 04:48:12
TAMAN WATU KANDANG,Kesini gara gara film sinden gaib,5,02/22/2024 08:52:24
TAMAN WATU KANDANG,Juosss,5,02/04/2024 09:43:06
TAMAN WATU KANDANG,Iya,5,01/31/2024 23:49:17
TAMAN WATU KANDANG,"Tempat yang asyik, menarik, sejuk, asri",5,01/23/2024 05:17:28
TAMAN WATU KANDANG,La iki watune seng di filmne yo,5,01/13/2024 12:01:45
TAMAN WATU KANDANG,"Tempat keren, perlu perawatan terus menerus agar tempat ini lbh baik kedepannya",4,12/07/2023 11:02:24
TAMAN WATU KANDANG,Kren lah kk aku kan asli orang trenggalik dongko Pandean Kren mantap Monggo seng blm pernah kesitu cepat kunjungin desa trenggalik dongko panden,5,11/20/2023 13:15:46
TAMAN WATU KANDANG,desa yang merawat sungai dijadikan wisata,5,11/09/2023 01:54:14
TAMAN WATU KANDANG,Bagus ok,5,10/05/2023 03:55:17
TAMAN WATU KANDANG,"Lumayan bagus,masyaratnya juga ramah2.",3,09/26/2023 17:48:23
TAMAN WATU KANDANG,"ReStu
i
S",5,08/11/2023 03:35:11
TAMAN WATU KANDANG,Pemandangan alam yg sangat menawan. Kami bersama kelg sangat menikmati nyanyian alam dr gemericik suara aliran Sungai yg syahdu dipadu dg nyanyian burung2 beterbangan yg sedang mencari makan.,5,07/23/2023 14:19:45
TAMAN WATU KANDANG,Pelayanan bagus di suguhi dengan kearifan lokal,4,05/31/2023 11:44:56
TAMAN WATU KANDANG,sepi,5,05/17/2023 08:52:03
TAMAN WATU KANDANG,Asyik dan menyenangkan untuk kegiatan outbound bersama tim sekolah maupun kantor.,5,04/23/2023 17:32:31
TAMAN WATU KANDANG,Aku karo utes biasane ngopi rene lur,5,04/14/2023 16:18:52
TAMAN WATU KANDANG,Tempat baru bagi yg hobby rafting...sayang berkunjung pas hujan dan sdh sore,5,02/14/2023 13:50:04
TAMAN WATU KANDANG,Tempat wisata air WATU KANDANG yg terletak di ds. Pandean Dongko ini sangat indah dan alami,1,01/31/2023 14:50:02
TAMAN WATU KANDANG,"Sory sy kasih bintang 2...
Tgl 25 des 2022 saya kesana .. yernyata tidak sesuai dengan harapan saya...
Belum dikelola dwngan baik...
Masih sebatas wisata alam yg dengan sedikit fasilitas..
Begitu datang .. tempat bagus.. langsung foto2, seleaai foto2 lanjut ke dalam xari gazebo.. dgn harapan mau oesan makan..
Ternyata blm ada yg jualn makan
Potensi alamnya sangat bangus bisa saya kasih bibtang 4...
Kalau didukung dgn fasilitas yg memadai dan dikelola dgn baik.. serta dilengkapi srana serta kemanan bagi pengunjung...",2,12/25/2022 06:58:17
TAMAN WATU KANDANG,"Destinasi wisata alam dalam pedesaan yang berada di Desa Pandean, Kecamatan Dongko, Kabupaten Trenggalek. Nikmati kesegaran dan kesejukan alam Trenggalek dengan keramahan pedesan.",5,12/09/2022 09:21:50
TAMAN WATU KANDANG,Tempatnya menyenangkan asri dan sangat nyaman,5,12/05/2022 22:45:54
TAMAN WATU KANDANG,"Alam dan desa ini merupakan cikal bakal diri ku hidup di dunia.. Alam yg selalu asri penuh ketenangan dan setiap orang yang datang kesini meskipun waktu itu jalan menuju desa ini penuh perjuangan, namun selalu membawa kesan bagi yg mengunjungi dan pasti berkata.. Aku akan kembali lagi kesini. Desa ini membawa pesona alami dengan banyak budaya nya. Akhir2 ini desa ini menjadi viral karena dengan polesan saudara2ku dan masyarakat serta tim berhasil menggondol peringkat sebagai desa wisata. Sangat bersyukur meski desa terpencil namun sangat asri dan ngangeni ini, juga melahirkan orang2 terpandang di kota. Sukses buat desa ku desa leluhur ku.",5,12/01/2022 16:35:49
TAMAN WATU KANDANG,"Bener2 takjub dengan pekandangan disini. Akses ke lokasi pun sangat mudah dicari dan dijangkau. Dari puskesmas Pandean yang lama masuk kira kira 3 km lah... Lokasi sudah berada di kanan jalan.
Kedepannya mungkin asik kalo ditambahin kaya cottage gitu, tp perlu waspada ketika musim hujan",5,11/25/2022 10:08:32
TAMAN WATU KANDANG,tempatnya bagus dan asik,5,11/11/2022 09:03:14
TAMAN WATU KANDANG,Sagat bagus,5,09/26/2022 16:03:55
TAMAN WATU KANDANG,"Sangat menyenangkan untuk wisata di watu kandang🥰bagi yg ingin foto2 view,nya sangat indah👍🤩🤩🤩Wisata watukandang terdapat Batu2 besar yg sangat menakjubkan😳😳😳#masih penasaran...datang dooonk😂😂😂✋",5,08/08/2022 05:53:49
TAMAN WATU KANDANG,"mau cari wisata yg asri, sejuk, ga ada polusi ? ini solusinya",5,07/10/2022 04:23:19
TAMAN WATU KANDANG,Ini enak hawa segar,5,07/06/2022 02:47:47
TAMAN WATU KANDANG,"Taman wisata keluarga, monggo ber ciblon ria 😂",5,07/04/2022 04:11:21
TAMAN WATU KANDANG,Tempat yang bagus untuk rekreasi bersama keluarga besar diakhir pekan dengan harga river tubing (arung jeram) yg sangat terjangkau mulai 35 rb per orang,5,07/03/2022 07:20:33
TAMAN WATU KANDANG,"sangat nyaman, tempat yang indah sejuk dan alami, di iringi kemricik suara air yang menentramkan jiwa👍PANDEAN IS THEBESH",5,07/02/2022 08:34:57
TAMAN WATU KANDANG,"Destinasi wisata yg sangat recomnd buat keluarga. Susana asri, sejuk, aliran air bersih dan jernih, ada glamping juga gasebo, tidak lupa toilet yg cukup bersih dan lumayan banyak.",5,06/19/2022 09:52:11
TAMAN WATU KANDANG,"Satu kata untuk desa wisata kita
Membanggakan",1,06/07/2022 03:35:36
TAMAN WATU KANDANG,Seru tapi sayang aku gak ikut jeram dung pelandakan,5,06/01/2022 03:08:52
TAMAN WATU KANDANG,"Tempat masa kecil dan baru tereskpose sekarang, semoga wisatawan dapat menikmati keindahan alam dan keramahtamahan penduduk lokal.",5,05/30/2022 13:22:34
TAMAN WATU KANDANG,Mantaabb,5,05/24/2022 14:04:59
TAMAN WATU KANDANG,seruu track nyaa kece😍😎,5,05/06/2022 15:48:44
TAMAN WATU KANDANG,Menyenangkan dan menantang,5,05/05/2022 12:14:00
TAMAN WATU KANDANG,"Kaget n takjub sih awalnya waktu tau di desaku ada Wisata ini (maklum dah lama ngk pulang)
Sungai di sini jernih banget, airnya juga segar n dingin, rame untuk river tubingnya, harus pesan dulu,
Blm nyobain sih krn bawa krucil.

Next klo pul ke desa lagi harus nyobain",5,03/03/2022 06:18:18
TAMAN WATU KANDANG,Lokasinya dekat jalan raya & jalurnya mantabs gaessss,5,02/27/2022 14:35:05
TAMAN WATU KANDANG,"Joshhhhh gaesssss,,, mantabz jiwa mempesonah tracknya",5,02/27/2022 14:24:49
TAMAN WATU KANDANG,"tenpat yg fantastis untuk uji adrenalin di sungai sambil ber-tubing ria, makanannya enak dan yg terbaik adalah sambutan tuan rumah yg top markotop, sukses selalu untuk teman2 Pokdarwis Dewi Arum Pulosari Pandean",5,12/31/2021 12:11:22
TAMAN WATU KANDANG,Wisata alam yg menantang,5,12/14/2021 09:58:38
TAMAN WATU KANDANG,Menyenangkan n bagus...,5,11/06/2021 14:36:54
TAMAN WATU KANDANG,Good view makes good mood.,5,10/17/2021 02:57:09
TAMAN WATU KANDANG,Nice river tubing spot,5,07/02/2021 00:38:12
TAMAN WATU KANDANG,"Lokasi river tubing yg sangat di rekomendasikan untuk berwisata
Dengan suasana alam yg masih asri, tempat yang bersih, serta kegiatan seni dan budaya jawa masih di pertahankan di desa wisata ini. Hal tersebut akan kita jumpai saat kita melakukan perjalanan wisata ke river tubing Desa Pandean. Sepanjang perjalanan menuju lokasi river tubing, kita akan di suguhi pesona pemandangan alam yg luar biasa indah.",5,05/30/2021 10:19:53
TAMAN WATU KANDANG,Tempat eksotis untuk melapas lelah dengan  river tubing dan bermain aoir,5,04/07/2021 14:20:47
TAMAN WATU KANDANG,"Taman watu kandang pandean dongko,mantap jiwah,mempesonah,istimewah...👍👍👍",5,04/07/2021 14:18:16
