name,review_text,review_rating,review_datetime_utc
Hutan Mangrove Pancer Cengkrong,"Dulu terkenal dg hutan mangrove, tp sekarang punah dan keliatan sepi pengunjung, tp nyaman utk outbond
Dengan warung makanan yg sangat terjangkau, juga tersedia tempat karaoke yg cukup utk melepaskan penat ..",5,06/01/2025 23:39:38
Hutan Mangrove Pancer Cengkrong,Sama seperti hutan mangrove lain nya,3,05/30/2025 15:29:02
Hutan Mangrove Pancer Cengkrong,"Kesini untuk kesekian kalinya, kadang kena tiket masuk kadang enggak (mintanya sih sumbangan yaaa)
Jadi kek kurang terurus, banyak kayu yg udah bolong hiks jadi takut buat lanjuttt
Jadi di cat warna warni, padahal warna kayu/coklat lebih indah dehhhh
Pengen naik perahu ternyata udah ga beroperasi hiks hiks

Tapi tetep indahhh, silakan mencobaaa karena ini unikkk💗",4,05/13/2025 12:06:25
Hutan Mangrove Pancer Cengkrong,Bagus untuk di kunjungi,3,04/19/2025 20:34:05
Hutan Mangrove Pancer Cengkrong,"Terakhir kesini udh hampir 10 th yg lalu, belum ada pantai gemah dan jls. Tempat ini masih buka,
Hutan mangrove nya semakin lebat.",5,04/04/2025 22:58:45
Hutan Mangrove Pancer Cengkrong,mantaaap,5,03/05/2025 23:31:28
Hutan Mangrove Pancer Cengkrong,"Mangrove nya masih baru, sehat, asrii, kalo sore dapet sunset lebih bagus lagi!! Bisa beli jagung juga buat kasi makan burung dan video ala ala!😻",4,02/14/2025 16:21:48
Hutan Mangrove Pancer Cengkrong,"Bagus, cuma jembatan mulai ada yang rusak",3,01/24/2025 13:00:34
Hutan Mangrove Pancer Cengkrong,"Kami tidak berkunjung ke hutan Mangrove nya tapi berkunjung ke pantai Cengkrong yang berada beesebwrangan dengan hutan Mangrove. Pantainya bersih, pasirnya lembut, ombaknya kecil jadi aman untuk bermain. Ada beberapa warung yang menyediakan makanan khas pantai seoerti berbagai menu ikan Dan juga makanan ringan lainnya seperti pop mie. Toilet rata2 ada disetiap warung, tidak ada mushola secara umum namun tersedia di warung2 tsb dengan fasilitas yang cukup saja. Harga tiket 6rb jadi murah banget, dengan harga segitu sudah bisa menikmati keindahan pantai.",5,01/17/2025 00:12:33
Hutan Mangrove Pancer Cengkrong,Mantap pelayanan,5,12/26/2024 01:05:19
Hutan Mangrove Pancer Cengkrong,Siiiip,5,12/11/2024 05:26:08
Hutan Mangrove Pancer Cengkrong,"bagus tempatnya, cmn pas kesana airnya gak ada, kering+panas banget ㅠㅠ tp ada tempat neduhnya kok",4,10/05/2024 12:43:47
Hutan Mangrove Pancer Cengkrong,Sejuk di pagi hari,5,09/22/2024 03:16:40
Hutan Mangrove Pancer Cengkrong,Tidakbterawat,1,09/17/2024 11:55:24
