name,review_text,review_rating,review_datetime_utc
Kolam Renang BANYU BIRU,"Kolam renangnya sudah bagus tapi saran jika ada les renangnya dikasi pembatas antara yang les sama umum biar ga keganggu,saya kesana waktu ada les renang dan ya saya gabisa renang karena sudah full dipakai utk les renang,semoga dibaca tysm",3,05/30/2025 03:26:51
Kolam Renang BANYU BIRU,"Kolam renangnya selalu dimonopoli kalo ada yang les renang, kualitas air buruk banget lebih ke banyu ijo daripada banyu biru trus jarang banget dikuras dengan kaporit yang banyak banget. Saran klo ada yang les renang paling nggak dikasih tali pembatas lah setengah² dikira kita yang umum nih nggak keganggu apa??, trus kuraslah itu banyak keramik pecah bahaya tau gak?. Semoga dengan adanya komentar saya ini bisa segera berbenah sih.

edit: nahh baru dikuras nih, gercep yang punya, tapi sayangnya belum ada solusi buat yang les renang masih sering mengganggu",2,05/20/2025 05:52:28
Kolam Renang BANYU BIRU,Banyak kutu air...,3,02/16/2025 13:56:40
Kolam Renang BANYU BIRU,"Bersih, bagus, rindang, ramai pengunjung.",5,01/14/2025 22:00:29
Kolam Renang BANYU BIRU,"Air jarang dibersihkan,sangat kotor banyak hewan kecil² gigitin kulit jadi gatal²",1,11/15/2024 05:33:12
Kolam Renang BANYU BIRU,"Całkiem przyzwoity basen, w sam raz na popołudniowy relaks",4,10/20/2024 12:56:54
Kolam Renang BANYU BIRU,"kolam renang banyu biru, tapi airnya ijo 😅",5,10/20/2024 03:49:15
Kolam Renang BANYU BIRU,"Untuk pagi jam 6 masih sepi, jangan coba2 kesini agak siangan. Kayak dawet wkwk",5,09/29/2024 08:56:12
Kolam Renang BANYU BIRU,"Tempat nyaman,Tiket terjangkau",5,05/24/2024 05:38:18
Kolam Renang BANYU BIRU,"Kualitas air kotor, berlumut, dan banyak kutu/binatang kecilnya. Kurang perawatan aja, utk harga masuk yg di tawarkan tidaklah sebanding. Lokasinya pun masih tergolong pedesaan terpencil.",1,03/11/2024 08:32:55
Kolam Renang BANYU BIRU,Murah. Dekat kota. View luar masih sawah dan kebun. Udara asri.,5,02/10/2024 04:07:51
Kolam Renang BANYU BIRU,"Bersih, adem, langganan kesini sama besti",4,01/27/2024 16:04:11
Kolam Renang BANYU BIRU,Murah meriah,5,01/22/2024 04:24:24
Kolam Renang BANYU BIRU,Sangat bagus,5,12/18/2023 06:11:20
Kolam Renang BANYU BIRU,Kolam renang bersih. Hanya saja mushola nya sangat kotor. sering ada kotoran hewan. padahal harusnya mushola bersih dan suci. Tolong lebih diperhatikan lagi ya,4,11/21/2023 12:10:15
