name,review_text,review_rating,review_datetime_utc
Kolam Renang Sumber Agung,"kolam renang nya sepii
gak terlalu dalam
air nya gak kotor",5,04/08/2025 09:47:17
Kolam Renang Sumber Agung,Waktu bukak belum buka ini gimana ya telek,1,02/25/2023 02:02:06
Kolam Renang Sumber Agung,Harga tiket masuknya berapa,5,02/05/2023 01:21:07
Kolam Renang Sumber Agung,dekat rumah jadi lebih mudah kalau mau renang,5,10/17/2021 07:42:15
Kolam Renang Sumber Agung,Airnya tidak terawat,3,01/16/2021 10:48:08
Kolam Renang Sumber Agung,Tempat yang menyenangkan.,5,01/06/2021 13:02:19
Kolam Renang Sumber Agung,Tempatnya bagus dan luas tetapi tidak dirawat dengan baik,2,12/29/2019 06:42:38
Kolam Renang Sumber Agung,Lumayan,3,10/08/2019 01:47:44
Kolam Renang Sumber Agung,berenang,5,02/07/2019 11:01:52
Kolam Renang Sumber Agung,Sebaiknya lebih di bersihkan tempatnya soalnya agak kotor,3,01/23/2019 06:53:05
Kolam Renang Sumber Agung,Kolam renang bebas untuk siapapun. Silahkan berkunjung.,5,04/23/2018 12:16:14
Kolam Renang Sumber Agung,😀😀😀😀,2,02/07/2018 19:10:09
