name,review_text,review_rating,review_datetime_utc
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,I'm visited here after covid and this place really make me feel in Bali when I can't going to Bali in that time,5,06/08/2025 05:11:09
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Datang hari minggu jam 9pagi niat mau healing sama sarapan sama anak, tapi nasi tidak ada katane adane nunggu 1 jam,
Mau grab nasi ndak boleh .
Parah ini tempat ,",1,06/08/2025 02:05:16
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Banyak spot foto yg indah... Karyawan nya ramah2, menu makanan n minumnya variatif dan harga terjangkau playground nya luas aman untuk anak2.",5,06/07/2025 14:57:09
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat renang dan bermain indoor untuk anak.

Ada jual jajajnan dan minuman.
Harga wajar dan terjangkau..",4,06/05/2025 04:27:31
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,tempat yang nyaman untuk refreshing bersama teman atau keluarga,5,05/20/2025 15:41:22
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,pelayanan kurang cepat dan kurang fokus,1,05/15/2025 06:37:27
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Fasilitas oke, baiknya ada qris untuk memudahkan pembayaran",5,05/12/2025 08:19:04
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat main anak² dg harga terjangkau. Dewasa 10rb, anak 5rb, under 3 th free.
Tempatnya bernuansa Bali. Meski tidak begitu luas, tapi cukup lumayan lah dg harga yg dibayarkan. Kolamnya hanya beneran utk main air ya, klo yg mau berenang serius mungkin kurang.
Ada tenant² makanannya juga.
Persewaan baju renang dan pelampung, playground indoor jg ada tapi berbayar lagi.
So far, cukup baik. Tapi sayangnya tidak ada kebijakan no smoking disini padahal wahana anak². Bapak² yg nungguin anak pada ngerokok. Sangat disayangnkan krn tidak ada teguran ato mgkn memang diperbolehkan.",4,05/06/2025 08:22:25
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Perlu memperhatikan masukan konsumen yang kasih bintang 1 seperti masalah parkir, alat bayar diperbanyak (debit,QRIS), yang ke restoran saja tidak perlu bayar tiket masuk, pelayanan dan kualitas makanan perlu ditingkatkan (info yg jelas,layanan perlu lebih ramah, otentik/roti bakar ya dibakar, sirup jeruk jg dibilang jus jeruk dll). Masukan masyarakat sekitar perlu diperhatikan. Review kritis (bintang 1-2) akun asli (review banyak dan bervariasi penilaian) kadang lebih bagus buat usaha daripada bintang 5 akun fake/ternakan yg punya 1 review. Btw, PHD edufarm bisa jadi pilihan wisata masyarakat yang sedang berada di Trenggalek, Tulungagung dan sekitarnya.",4,04/03/2025 22:52:19
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Lokasinya pinggir jalan gampang menemukannya
Adem asri
Kolam renang utk anak-anak dan playground juga ada
Utk rekreasi recomended pokoknya
Makanan juga baik",5,04/02/2025 03:49:40
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"ini cuma kolam renang buat anak kecil (menurut saya)
memang ad pertunjukan leaknya.. dan pengunjung lain lumayan excited untuk foto² dg leaknya
makanannya ya bolehlah",4,02/25/2025 14:51:57
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"tempatnya cukup nyaman, tapi saran buat kentang gorengnya dikasih garam sedikit agar tetap ada rasa walaupun diberi saus. overall oke sih",5,02/14/2025 03:55:42
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Edu Wisata bernuansa Bali yang lokasinya di Trenggalek. Masuk ke sini HTM 10 K saja. Dari pintu masuk sudah banyak patung bernuansa Bali. Ada Kolam Renang & beberapa palyground. Cocok kalo bawa anak anak ke sini.
Di sini ada cafenya. Harganya cukup terjangkau, namun kalo untuk varian menu masih kurang. Dan ketika pesan, disajikan dalam box saja, sendok garpu plastik.
Mungkin masukan untuk menunya lebih beragam dan menggunakan alat makan yg ramah lingkungan.",4,02/13/2025 04:18:37
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,nuansa Bali cuma kurang bau dupa saja.,5,01/17/2025 03:57:26
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat bersih dan terawat, nyaman untuk bersantai dg keluarga",4,01/15/2025 09:16:17
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat bersih, nyaman
Toilet bersih
Makanan dan minuman juga enak terjangkau
Pegawai ramah",5,01/12/2025 05:04:37
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Nyaman, murah meriah, anak senang, kopi hitam 5rb mantab",5,01/12/2025 04:33:12
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Suasana nyaman banget buat kumpul keluarga
Mungkin di pendopo perlu di tambahi kipas angin sehingga ketika full pengunjung tidak terlalu penat hawa nya
Overall is good dengan HTM 10k",4,01/01/2025 05:46:36
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Susah pembayaran gk bisa pake Qris,4,12/31/2024 05:08:10
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Suasana kek bali,5,12/25/2024 01:07:27
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Gazebonya banyak banget,
Sejuk & fresh,
Transportasi mudah,
Tiket terjangkau
Pokoknya rekomendasi utk kantong pelajar dan keluarga 🙏❤️👍",4,10/18/2024 02:27:50
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Kesana karna review tugas kampus pas ujan deres banget tapi jadi bisa eksplor semuanya karna lagi sepi, tempatnya bagus di desain ala bali, ada kolam renang, ruang meeting, resto juga, lumayan lengkap, nuansanya baguss",4,09/25/2024 10:16:14
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Enak kok tempatnya,nyaman,bersih,pelayanan juga ramah,parkir nyaman

Next agenda kesana lagi,tapi tolong dong menu nya ditambah lagi😁",5,09/22/2024 07:32:58
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Miniatur Bali,5,08/24/2024 11:16:15
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempat santai berkumpul ma keluarga dengan permainan anak...,5,07/28/2024 11:08:01
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Nyaman senang buat family,5,07/17/2024 23:13:40
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Kolam renangnya kotor berlumut,3,07/16/2024 03:57:44
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempatnya Nyaman dan Asyik,5,06/23/2024 12:03:39
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempat rekreasi & edukasi buat anak,5,06/05/2024 21:26:41
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Bagus .. trs d kelola dg baik,, biar makin rame",4,05/28/2024 13:34:34
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Pemanfangan yang unik minimalis, beserta resto makanan yang lezat murah, tenpat bersih",5,05/12/2024 06:11:40
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Ayo semangat berolahraga semuanya.,5,05/11/2024 04:06:40
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Cukup worth it untuk piknik ringan di seputaran Trenggalek. Tiket masuk 10 ribu untuk orang dewasa dan 5 ribu utk anak2 di bawah 10 tahun. Parkir mobil juga terjangkau cuman 5 ribu. Makanan bervariasi dengan harga yg terjangkau utk ukuran tempat wisata. Utk kolam renang yg paling dangkal, lantainya agak berlumut.",4,05/09/2024 02:45:40
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Nuansa Pulau Dewata, dengan banyaknya wahana outbound untuk anak, tersedia cafe dan kolam renang. Tersedia juga mushola didalamnya, dan dekat dengan masjid (tapi di bagian luar PHD).",5,05/08/2024 01:20:42
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,sangat bagus tetapi harga makananya dikurangi sedikit,4,04/23/2024 11:41:45
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,tempat yang nyaman untuk bersantai,5,04/15/2024 09:46:48
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya Bersih, Indah, ticket dan harga makanan terjangkau. Senang main ke sana",5,04/12/2024 12:40:07
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempat rekreasi yang sesuai utk anak anak. Ada kolam renang dan ada playground juga di dalam. Hanya saja tempatnya agak sempit. Jadi kalau beramai ramai ya tempatnya keliatan penuh bgt. Ada resto juga dg harga yg affordable. Menunya enak enak. Toilet juga bersih dan cukup banyak.,5,03/06/2024 16:41:01
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya nyaman buat santai keluarga , fasilitas sangat menyenangkan buat anak” the best",5,02/26/2024 05:26:47
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Menarik..tenang..buat santai bersama keluarga,4,02/21/2024 09:49:41
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Bagus untuk anak-anak bermain..,5,02/17/2024 00:52:26
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Ada playground & kolam renang khusus anak-anak, menyediakan makanan & cafe, kamar mandi bersih",4,02/08/2024 04:14:05
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Ekpektasinya tempat luas banyak fasilitas yg menarik ternyata agak kecewa.... Pesanan makan juga agak lama sampe 3x saya samperin. Semoga bisa berbenah lagi🙏,3,02/02/2024 14:34:25
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat rekreasi dengan nuansa Bali, tempatnya bagus dan bersih. Di dalam ada playground, kolam renang dan ruang laktasi",5,01/21/2024 03:42:40
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Ternyata edufarmnya malah sudah pindah lokasi... disana hanya ada kolam utk anak2 kecil dan resto... kecewa krn tdk sesuai harapan.. tp kl bawa anak balita mungkin masih oke siihhh utk main di kolam dan makan,3,01/18/2024 15:13:27
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Judulnya wisata media pembelajaran dan restoran, tapi tak boleh (harus beli tiket masuk) kalau hanya mau makan di restorannya",3,01/11/2024 06:56:34
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat bersih dan nyaman, tiket murah makanan enak",5,01/05/2024 01:14:39
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Pertama kali berkunjung disini bersama keluarga. Diluar ekspektasi saya, ternyata tempatnya bagus, suasana Bali, dengan iringan degung Bali..Banyak spot foto bagus, dan memang ornamen serta bangunan di tempat wisata ini dibuat sedemikian mirip khas budaya Bali..
Tempatnya bersih, rindang, dan pegawainya ramah, berseragam rapi..
Permainan outdoor untuk anak2 serta kolam renang anak, cocok untuk tempat berlibur yg tidak jauh dr kota Trenggalek..
HTM 10rb untuk dewasa, anak-anak 5 ribu..
Makanan cukup enak, mungkin bisa ditambah variasi makanan berat, buat menu diner ya..
Kolam renang mohon untuk ditingkatkan kebersihannya..bisa lebih baik..
Itu saja review amatir dr saya, semoga dapat dipertahankan, atau dapat ditingkatkan lagi...tks",5,12/30/2023 05:09:28
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"TEMPATNYA ENAK BERSIH DAN NYAMAN, KALAU SORE SEJUK DAN JUGA MAKANANANYA ENAK TAPI MENU KURANG BANYAK, PELAYANANNYA RAMAH, NUANSA SEPERTI DI BALI... REKOMENDASI UNTUK KUMPUL KELUARGA ATAU MEATING TWMPATNYA YG ASRI ALAMI👍👍👍👍👍🥰 SEMOGA PHD SELALU RAMAI SETIAP SAAN",5,12/29/2023 03:06:00
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya nyaman, pelayanan ramah",5,12/29/2023 02:11:44
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat sangat nyaman untuk anak²
Ada playground nya, tiket terjangkau
Menu di dalamnya relatif terjangkau dan nasi gorengnya bikin kangen 😍
Liburan yg akan datang akan berkunjung lagi insyallah ❤️",5,12/26/2023 14:11:49
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempat pengunjung nya ramai,5,12/25/2023 10:47:00
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Nuansa santai dan sejuk...
Music backsoundnya kok musik Sunda ya? 🤭",4,12/25/2023 08:16:00
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Pesanan lama jadinya,2,12/10/2023 05:50:34
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempat santui,4,12/06/2023 06:19:03
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya nyaman, masuknya murah sekali, recomanded untuk wisata keluarga. Karyawan nya sangat ramah. Minusnya hanya jenis makanannya yang kurang beragam. Misal ditambah menu yang familiar seperti krupuk pecel atau es degan pasti lebih mantap. apalagi kalau ada menu ikan2 bakar. tambah mantap jaya 😍😍😍😍",5,11/21/2023 12:09:02
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya sejuk, banyak permainan untuk anak2...tempat untuk bersantai para pendamping anak2 yg bermain jumlahnya cukup...makanan nya enak",5,11/19/2023 06:36:18
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempat yang bagus dan nyaman anak2 pasti suka sama tempat ini... Karena banyak tempat untuk bermain,5,11/15/2023 00:23:50
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Makanannya terlalu mahal dan saya waktu itu memesan nasi goreng , nasinya seperti sudah tidak layak makan dan nasi gorengnya terlalu polos , popmie nya terlalu mahal , kolam renang anak ada hewan yang menjijikkan , kentang gorengnya mentah dan pelayanannya tidak ramah apa lagi masuknya mahal dan parkirnya terlalu mahal padahal cuma parkir sebenta",1,10/25/2023 05:49:10
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Ada no. Wa yg bs dihubungi gak kk,4,10/14/2023 05:23:27
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Oke,5,10/11/2023 15:27:08
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,enjoy banget,5,10/10/2023 00:35:23
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Nyaman, bersih, murah. Asik buat nyantai",5,10/01/2023 06:36:48
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Rapat biar kayak pejabat 😎,5,09/28/2023 12:16:22
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Bagus sekali,5,08/17/2023 06:01:12
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Nyaman,5,07/20/2023 14:38:42
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempatnya bersih..,4,06/21/2023 02:51:48
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tiketnya itu lho Murmer banget...
Padahal weekend
Anak² 5ribu per orang
Dewasa 10ribu perorang..
Makanannya enak , harga standar",5,06/20/2023 14:51:22
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya bagus dan bersih, ada kolam renangnya.. hTMnya juga ekonomis..",5,06/18/2023 07:07:55
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Menarik,",5,06/15/2023 20:24:47
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Sayang tempat kurNg  luas,5,06/15/2023 06:53:45
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Ramah2,5,06/14/2023 07:36:56
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat wisata keluarga yg nyaman dan unik. Rasa Bali, view dan ornament yg menghiasi nya. Kalo bawa anak anak pasti happy disini Krn Playground nya bagus, bersih dan kolam renang anak juga ada. Tiket murah, makanan variatif dan terjangkau",5,06/09/2023 04:09:43
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya sebenarnya gak luas tapi cukup bagus lah, ad kolam renang tempat bermain, klo untuk Playground bayar lagi 10.000, kamar mandi juga bersih terawat semua pokok",4,06/06/2023 17:38:22
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Wisata edukasi untuk keluarga, sangat enak dan nyaman tempat nya",5,06/04/2023 01:22:51
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Petugas parkir ceroboh dalam mengarahkan.. mobil nyrempet Sampek penyok dan tidak mau tanggung jawab.. Kapok kesana karna tukang parkirnya,1,06/03/2023 05:43:37
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,jooss,5,06/03/2023 04:57:36
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat yg nyaman untuk keluarga. Saran kunjungan pada hari kerja, gak rame n lebih nyaman.",4,05/27/2023 00:46:34
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya simple, nyaman n asyik buat liburan keluarga",5,05/25/2023 05:48:50
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Artistik,5,05/21/2023 14:49:38
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempatnya bersih dan sejuk,4,05/19/2023 01:54:27
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Serasa di Bali ...,5,05/14/2023 06:49:33
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempat Rekreasi bersama keluarga, ada kolam renang untuk usia balita sd Dewasa.
Kebetulan berkunjung pas sore hari (Sabtu) pengunjung tidak terlalu padat.
Tersedia Mushola

Tersedia menu softdrink,",5,05/14/2023 03:05:43
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Lumayan untuk refresing keluarga kecil,4,05/08/2023 11:40:57
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempat nongkrong yg lumayan asyik nuansa bali. Cocok bawa anak anak untuk berenang.,4,05/06/2023 07:25:34
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Dari bagian depan cocok untuk yg hobi berswafoto terlebih yg suka nuansa ke bali-balian. Dibagian dalam tersedia kolam renang dan area play ground/area bermain untuk anak yg cukup luas.
Sayangnya saat berkunjung waktu sore hari sempat menemui adanya tikus diarea dekat kolam. Dan coba berkunjung lagi saat hari libur sulit untuk mendapatkan parkir mobil. Penuh dan mengular sampai dibahu jalan.",3,05/04/2023 17:32:20
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Worth it sih wahananya , but bagian kantin lama bgt . Wkwk , kalo emang lama dan antrian panjang bisa mungkin kasirnya bilang estimasi wktu biar kita yg order juga lebih sans .
Pas ditanyain kek marah2 mbak2nya . Wkwk",2,05/01/2023 06:18:37
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Suasana waktu datang berasa nuansa Bali, bangunan seperti bentuk Pura-Hindu-Bali. Rameeee banget pas libur lebaran, waktu masuk (datang) agak pagian masih lumayan sepi, giliran satu sampai dua jam di sini langsung rameeee banget! Banyak wahana bermain buat anak-anak, tapi baiknya diperluas lagi kolamnya, karena penuh kalau pas hari libur seperti ini, semoga bisa dipertimbangkan pihak manajemen",4,05/01/2023 03:58:11
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Nyaman buat bersantai dengan keluarga, makanan minuman enak, cukup disayangkan bagian tukang parkir kurangnya wawasan haluan parkir (asal-asalan)",4,04/30/2023 08:11:37
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Artistic place for rilexs,5,04/21/2023 11:24:04
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Menarik, suasananya bagus",5,04/20/2023 13:22:17
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Lebih tepatnya rumah makan  yg dilengkapi playgroup sprt kolam koceh untuk anak. Untuk HTM masih terjangkau dan tempat parkir memadau,5,04/17/2023 02:41:50
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Tempatnya nyaman,5,04/16/2023 01:21:43
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Saya warga sekitar sangat merasa terganggu sampai jam 01.00 pagii, kegiatan pesta malam hari di PHD MALASAN sangat mengganggu sekali , sangat tidak manusiawi mengingat sudah diatas jam 9 malam seharusnya segala jenis soundsistem dan musik"" SANGAT KERAS seharusnya di matikan . BAHKAN SAMPAI JAM 1 PAGI SEDANGKAN INI DI BULAN RAMADHAN YANG BANYAK ORANG INGIN BERISTRAHAT DENGAN TENANG !!!
SAYA DAN MASYARAKAT BENAR"" SANGAT KECEWA DAN SAKIT HATI",1,04/15/2023 06:10:17
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya bagus...enak buat wisata keluarga...
Mungkin kedepannya bisa diperluas...
Kekurangannya cuma parkirannya kurang luas, sehingga banyak yang parkir di pinggir jalan...",5,04/05/2023 05:15:40
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Menarik,5,03/24/2023 04:36:43
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Tempatnya bagus banget harga juga murah week end dewasa 10.000, anak-anak 5ribu. Sudah bebas semua spot foto, permainan outdoor panjat tebing, jembatan dan prosotan, dan kolam renang sepuasnya. makanan juga ramah seeprti tempat wisata lain,  ada playground yang sangat luas dengan harga 10.000 aja. (Sayang banget, yg permainan outdoor sering dibuat duduk anak2 remaja cewek, dan anak saya sampai kena buli, dilarang lewat padahal itu area bermain, terus disuruh lewat prosotan tinggi yg samping, sampai sedikit jatuh. Untungnya gak p2, cuma kayak ketakutan. Tolong untuk pengelola khusus untuk tempat bermain disterilkan dari orang2 duduk. Kayak panjat tebing juga buat duduk. Jauh-jauh dari ponorogo, inginnya menikmati semua tempat. Dan setelah saya kasih tau mas2nya langsung ditegur.",4,03/19/2023 21:27:21
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,"Suka banget tempatnya vibes Bali, super bersih",5,03/19/2023 11:50:41
