name,review_text,review_rating,review_datetime_utc
Pantai Karanggongso,"Rekomendasi Kalo untuk Liburan, Apalagi Bersama Keluarga 🌊",5,06/07/2025 05:50:25
Pantai Karanggongso,"Bagus + keren pantai nya, tapi aku kesini pas lagi kotor ya sayang banget 🥺, kalo yg di pasir putih nya aku belom mampir sih",5,06/07/2025 05:35:42
Pantai Karanggongso,"Ikan bakar fresh pantai lumayan bersih
Tidak ada uang rokok buat driver tidak ruang tunggu-istirahat driver
Padahal di pantai sebelah ada",2,06/06/2025 14:49:10
Pantai Karanggongso,"Pantai yg jg indah di sebelah pantai mutiara,dg berbagai menu masakan laut,menambah daya tarik tersendiri",5,05/31/2025 13:36:30
Pantai Karanggongso,"Pantainya rame , puas buat berenang , tp sayang sampahnya kurang di kelola dg baikk",5,05/29/2025 03:43:57
Pantai Karanggongso,Bagus pantainya. Makanan harga tidak terlalu mahal,5,05/24/2025 01:45:38
Pantai Karanggongso,Pantainya bersih tertata rapi pengelola baik. Luarbiasa jajanan di tempat murah,5,05/22/2025 07:32:07
Pantai Karanggongso,"Recomend buat liburan sama bocil ,terbaik",5,05/20/2025 13:57:38
Pantai Karanggongso,"Kedatangan ke-2 di pantai ini, kali ini viewnya sangat cakep 🥰

Airnya bersih

Bs naek banana boat & perahu dgn harga yg worth it banget

Kamar mandinya bersih2 semua 👍
Kebersihan pantai terjaga",5,05/12/2025 14:31:26
Pantai Karanggongso,Bagus banget 👍👍👍,5,05/11/2025 11:17:22
Pantai Karanggongso,Ramai dan adem,5,05/11/2025 05:40:27
Pantai Karanggongso,"Pantainya nyaman tidak terlalu ramai, ombaknya tidak tinggi, pemandangannya indah",5,05/03/2025 06:27:17
Pantai Karanggongso,"Pantainya terlihat bagus pada saat air pasang, kalo pas surut, jadi kering dan berkarang karang, bisa juga eksplor karangnya kalo mau.",5,04/30/2025 05:14:55
Pantai Karanggongso,Good guys,5,04/29/2025 02:14:04
Pantai Karanggongso,tempatnya bersih trs rekomen bgt buat yg suka foto² gitu,5,04/17/2025 14:04:03
Pantai Karanggongso,Pantai alami indah dan cocok buat liburan bersama keluarga,4,04/12/2025 08:33:44
Pantai Karanggongso,"Hargai & pelihara Alam ,, yg ada disekitar ../ dimanapun berada..
Sesungguhnya semua itu bagian dari diri kita...🙏",5,04/10/2025 06:45:29
Pantai Karanggongso,"Bayar 1 dapat 2 pantain, menarik dan bersambung",5,04/06/2025 05:51:05
Pantai Karanggongso,Cocok untuk keluarga,5,04/04/2025 17:44:12
Pantai Karanggongso,"Ke sini bersama rombongan RT 1 bus. Tiketnya 15 ribu, parkirnya busnya 20 ribu. Datang hari Sabtu pantainya tidak begitu ramai, tapi sayang hujan jadi banyak neduhnya

Pantainya bagus, ombaknya tidak begitu keras jadi aman buat main anak-anak. Sewa tikar 10 ribu, naik perahu 25 ribu/orang 20 menit. Ada banana boatnya jugaa..

Banyak penjual ikan bakar, saya kemarin beli kakap asap 55 ribu dapat 4 tusuk. Makan di tempat seporsi 25 ribu sambalnya kecap + nasi.

Ada penjual buah harganya murah saya sampai borong alpukat😁 dll. Durian aja lho sekotak thinwall harga 20ribu",5,03/18/2025 06:18:06
Pantai Karanggongso,"First time coba banana boat disinii
Pengalaman yang luarr biasaaa

Lautnyaa bersih
Pemandangannya syahduu",5,03/06/2025 09:05:05
Pantai Karanggongso,"Saya mengunjungi pantai ini waktu weekend dan waktu saya kesini pantainya lumayan ramai, harga masuk ke pantai ini juga lumayan murah, untuk kebersihan pantai lumayan bersih meskipun banyak pengunjung,
airnya bersih sangat segar untuk berenang disana, disekitaran pantai banyak juga pedagang dan untuk toiletnya sangat banyak dengan tarif yang bervariasi mulai dari 2000 hingga 3000,",5,03/04/2025 01:47:37
Pantai Karanggongso,"Tempat nya baguss, pantai nya bersih, sejuk, ada kapalnya,  dan banana both, untuk harga naik kapalnya 25/30 per orang",5,02/20/2025 08:54:18
Pantai Karanggongso,Indah banget,5,02/14/2025 03:47:35
Pantai Karanggongso,"Suka dengan pantai disini, ada spot sepi di pojokan sebelah barat, untuk menikmati ketenangan dan berfoto ria sangat recommend 👍",4,02/11/2025 23:36:30
Pantai Karanggongso,"Pantai yg sangat indah,maknanya pun cukup ramah dikantong",5,02/10/2025 05:48:55
Pantai Karanggongso,apa boleh buat ngecamp?,5,01/26/2025 09:01:32
Pantai Karanggongso,mantai yagesya,5,01/23/2025 23:57:20
Pantai Karanggongso,Pantai yang Rekomendasi buat Healing  Tempat Bersih Pemandangan Bagus,5,01/20/2025 23:15:47
Pantai Karanggongso,keren,5,01/18/2025 09:40:59
Pantai Karanggongso,Pantai karanggongso salah satu pantai terpopuler di Trenggalek. Menawarkan wisata perahu dan banana boat. Pantainya bersebelahan dengan pantai Simbaronce. Akses cukup mudah via JLS dengan view yang sangat indah di jalan lintas selatan...,5,01/05/2025 10:24:51
Pantai Karanggongso,Tempatnya indah ramai bayar nyapu murah ombaknya besar besar,5,01/04/2025 02:43:17
Pantai Karanggongso,"Pertama ke pantai selatan yaa ke Karanggongso. Pantai kecil yang ramai pengunjung.
Ombak kecil silih berganti, karna memang letanknya di apit 2 daratan yang melengkung seperti guruf U, jadi ombak besar terhalang ke daratan.
Recomend banget untuk renang, mancing, atau sekedar jalan-jalan di bibir pantai",5,01/01/2025 14:36:11
Pantai Karanggongso,"HTM untk dewasa 15 rb, anak2 10 rb, parkir mobil 5 rb, motor 2 rb  Pantainya bersih terbagi jadi 2 lokasi yg satu pasir putih, bisa naik perahu satu perahu 300 rbuan, ada banana boat juga, dipinggir pantai bisa digunakan untuk berenang namun tetap dalam pantauan dan tidak boleh jauh2 dari bibir pantai..warung sangat banyak dilokasi dan menyediakan toilet berbayar...cocok untuk keluarga maupun rombongan bisa gelar tikar untuk sekedar santai menikmati lautan skaligus untuk makan bersama",5,01/01/2025 06:35:20
Pantai Karanggongso,Sangat bagus.......,5,12/23/2024 08:45:25
Pantai Karanggongso,yang pasti kalo weekend full rame bgt wkwkwk,4,12/06/2024 04:45:35
