name,review_text,review_rating,review_datetime_utc
Pantai prigi,Cmsebentarliay2tpwaktu itu blm ada smartphonejadi gak bisa foto2,1,06/14/2025 23:14:10
Pantai prigi,"Pantai terindah yang pernah aku kunjungi, pantai nya bersih 🥺🥺
Bakal terukir kenangan",5,06/02/2025 06:21:03
Pantai prigi,Sangat berkesan,5,05/31/2025 04:09:57
Pantai prigi,Lumayan,4,05/27/2025 14:06:22
Pantai prigi,Agak kotor sekarang,3,05/16/2025 02:57:41
Pantai prigi,Amazing,5,05/14/2025 22:03:23
Pantai prigi,Pasir putih,5,05/12/2025 11:46:05
Pantai prigi,Pantai dulu cukup bagus dan nyaman asri banyak ikan asap yang dagang di situ mantul,5,05/08/2025 12:24:53
Pantai prigi,"Di ibaratkan sebuah baju, pantai prigi adalah baju merk Luis Vuiton yang tidak pernah di cuci selama 5 tahun, uda bau, berjamur, kotor dan compang camping.
Kalo orang yg datang sebentar buat main ke pantai, apalagi pantainya habis di bersihkan, pasti mereka bilang pantai prigi itu Bagus.
Tapi coba lihat di daerah sekitarnya, ada industri pengolahan ikan yg limbahnya di buang sembarangan, bau banget dan penuh bakteri, sisa2 limbah itu menumpuk di sungai dan tanah sekitar terus bercampur ke pantai prigi. Bikin muntah kalo di ingat.
Kalo emang niat untuk memperbaiki pantai Prigi, buat solusi untuk limbah itu, jangan tutup mata.",1,05/01/2025 10:47:46
Pantai prigi,"Lomba Mural Guru antar Komli, lomba nduk & le, dan lomba duta enterpreneur antar siswa dalam rangka Hari Kartini 2025. SMKN 2 Nganjuk emang beda ... Yeach³ 🎉🔥💐",5,04/28/2025 05:39:20
Pantai prigi,Sejuk sekali,5,04/25/2025 05:10:55
Pantai prigi,pantainya kotor,3,04/18/2025 10:32:00
Pantai prigi,Nice place,4,04/12/2025 09:25:11
Pantai prigi,"Bagus, area pantai luas, byk pohon jadi adem, gazebo juga byk,",4,04/08/2025 09:26:21
Pantai prigi,nice place,5,04/06/2025 15:30:29
Pantai prigi,Patai yang indah cantik suasana di sana sejuk enak,4,03/29/2025 00:54:58
Pantai prigi,puas,5,03/15/2025 02:06:13
Pantai prigi,Pantai prigi sangat myaman buat liburan anda,5,03/11/2025 05:44:29
Pantai prigi,Bagian loket mau ke jembatan kembar tidak ramah,1,03/04/2025 22:16:52
Pantai prigi,Seru untuk rame rame,5,02/18/2025 06:51:02
Pantai prigi,Pantai nya bagus,5,02/18/2025 05:32:56
Pantai prigi,Ke 3 kali main ke sini ..semakin bagus dan asri ..kombinasi pas untuk dapat durian + ikan laut,5,02/08/2025 06:42:38
Pantai prigi,Pantainya indah tapi sayang banyak yang kurang menjaga kebersihan,5,02/02/2025 13:06:09
Pantai prigi,pantai jelek jgn kesini biar gw sendiri yg disini,5,01/30/2025 00:21:14
Pantai prigi,Sangat indah,5,01/29/2025 23:12:44
Pantai prigi,Enak untuk mancing,5,01/18/2025 06:02:28
Pantai prigi,Jalur lintas selatan ( JLS ) Provinsi Jawa timur memang  terbaik..👍👍👍,5,01/17/2025 04:23:54
Pantai prigi,"Pantainya bersih sekali, suasananya sangat cocok untuk healing, ada dermaga juga yang enak buat mancing, sepanjang perjalanan viewnya indah",5,01/08/2025 12:30:59
Pantai prigi,Tempatnya indah siapa yng berkunjung ke trenggalek wajib di kunjungi,5,01/06/2025 07:29:18
Pantai prigi,Saya bakal kembali ke pantai ini...mirip seperti pantai2 di Bali...cuma ga ada bule nya...tastenya berasa kayak di Kuta Bali atau di pantai Double Six Seminyak Bali...ombaknya gede..cocok misal buat para bule buat surfing atau permainan air lainnya..bermain air dari siang sampe sunset ga berasa..tau² udah gelap aja...seneng banget kalo pantai ini menjadi salah satu bali baru dan salah satu destinasi wajib berwisata di jawa timur..,5,01/06/2025 07:05:39
Pantai prigi,Tempat yang sesuai bersama keluarga menikmati keindahan alam,5,12/25/2024 06:31:11
Pantai prigi,Pantai,4,12/03/2024 02:50:48
Pantai prigi,Sekarang pantai prigi gak boleh direnangi,1,11/30/2024 09:25:52
Pantai prigi,Banyak sampah di pinggiran pantai,3,11/30/2024 01:44:09
Pantai prigi,"Datang kepagian sekitaran jam 6. Di pintu masuk belum ada petugas retribusi, jadi tidak bayar😁. Bentangan pantai pasir putihnya cukup panjang, tetapi cukup kotor oleh sampah. Angin cukup kencang dan ombak cukup besar. Sebenare fasilitas pendukung seperti gasebo, kantin, toilet dan parkiran memadai.",3,11/27/2024 06:34:47
Pantai prigi,Bagus rekomendasi untuk bersantai dengan keluarga.,4,10/28/2024 06:37:25
Pantai prigi,"Melayani iring2 nikahan, wisata, silaturahmi kemana saja.harga bervariasi menyesuaikan yg pasti amanah",5,10/27/2024 05:28:35
Pantai prigi,Masih terdapat sampah di bibir pantai meskipun tidak banyak....,5,10/18/2024 09:48:33
