place_name,year,total_visitor,avg_rating
atlantis ancol,2020,163049,4.051282051282051
samudra ancol,2020,284358,4.263636363636364
dufan ancol,2020,685837,4.560975609756097
taman impian ancol,2020,4512892,4.604651162790698
seaworld ancol,2020,275266,4.583333333333333
pantai pelang,2021,13576,4.415254237288136
dufan ancol,2021,600643,4.560975609756097
samudra ancol,2021,250695,4.263636363636364
atlantis ancol,2021,6170,4.051282051282051
seaworld ancol,2021,245467,4.583333333333333
pantai mutiara trenggalek,2021,40394,4.473333333333334
pantai prigi,2021,24672,4.486666666666666
taman impian ancol,2021,3524422,4.604651162790698
goa lowo trenggalek,2021,5881,4.5078125
rumah apung mutiara,2021,1668,4.555555555555555
wisata tebing linggo,2021,3382,4.574803149606299
waterpark jaas permai,2021,584,3.8181818181818183
kolam renang banyu biru,2021,5509,3.9135802469135803
taman bermain waroe,2021,2958,4.214285714285714
goa ngerit,2021,2646,4.477124183006536
hutan mangrove pancer cengkrong,2021,6389,4.268518518518518
pantai karanggongso,2021,97953,4.544871794871795
seaworld ancol,2022,984618,4.583333333333333
taman impian ancol,2022,7805349,4.604651162790698
dufan ancol,2022,1938217,4.560975609756097
samudra ancol,2022,995203,4.263636363636364
atlantis ancol,2022,253067,4.051282051282051
pantai karanggongso,2022,238786,4.544871794871795
goa ngerit,2022,5046,4.477124183006536
kolam renang banyu biru,2022,11300,3.9135802469135803
hutan mangrove pancer cengkrong,2022,18048,4.268518518518518
waterpark jaas permai,2022,7242,3.8181818181818183
pantai mutiara trenggalek,2022,126581,4.473333333333334
rumah apung mutiara,2022,7172,4.555555555555555
desa wisata duren sari sawahan,2022,2359,4.88
wisata tebing linggo,2022,6655,4.574803149606299
taman bermain waroe,2022,10031,4.214285714285714
goa lowo trenggalek,2022,13381,4.5078125
pantai pelang,2022,35078,4.415254237288136
pantai prigi,2022,59297,4.486666666666666
taman impian ancol,2023,11144860,4.604651162790698
dufan ancol,2023,2238160,4.560975609756097
samudra ancol,2023,1473275,4.263636363636364
atlantis ancol,2023,657135,4.051282051282051
seaworld ancol,2023,1335082,4.583333333333333
dufan ancol,2024,2208884,4.560975609756097
samudra ancol,2024,1245793,4.263636363636364
taman impian ancol,2024,9983344,4.604651162790698
hutan mangrove pancer cengkrong,2024,10343,4.268518518518518
rumah apung mutiara,2024,5929,4.555555555555555
desa wisata pandean dongko,2024,4446,4.724137931034483
pantai kebo,2024,7451,4.580357142857143
kolam renang sumber agung,2024,7077,3.6666666666666665
taman bermain waroe,2024,5918,4.214285714285714
kolam renang banyu biru,2024,14868,3.9135802469135803
atlantis ancol,2024,516883,4.051282051282051
waterpark jaas permai,2024,7316,3.8181818181818183
wisata tebing linggo,2024,4297,4.574803149606299
goa ngerit,2024,1670,4.477124183006536
pantai mutiara trenggalek,2024,445743,4.473333333333334
desa wisata duren sari sawahan,2024,7249,4.88
goa lowo trenggalek,2024,9168,4.5078125
pantai karanggongso,2024,387139,4.544871794871795
pantai prigi,2024,55308,4.486666666666666
pantai pelang,2024,32304,4.415254237288136
phd nusantara,2024,47965,4.264462809917355
seaworld ancol,2024,1129920,4.583333333333333
