name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Ikhsan Septian,"Tempat nya cukup lama, untuk maintenance lebih bisa ditingkatkan lagi",3,06/16/2025 15:06:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Lalla,,5,06/16/2025 10:34:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,luki widjaja (lukifotografer),"Makanan minuman gak boleh masuk, kamera boleh masuk, air nya bersih",5,06/15/2025 15:17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,doddy prasetyo,,5,06/15/2025 11:51:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Ila ali,لابأس بها,3,06/15/2025 11:02:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Nenk Siti,,5,06/14/2025 02:24:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Rivander Irawadi,,4,06/12/2025 13:56:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Rendy Dwi Saputra,Bagus bgt,5,06/11/2025 07:07:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Abdullah Ahmed,,5,06/11/2025 02:45:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Rembulan,,5,06/10/2025 22:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Bunda Al fairy,"Kesini karena rumah dekat. Terakhir kesini boleh bawa tiker, tapi peraturan sekarang tidak boleh bawa tikar, jadi tikarnya di titip di penitipan, tapi pas pulang, kami lupa mengambilnya. Overall lumayan. Mungkin buat tempat bilasnya lebih diperhatikan lagi, dan juga kebersihannya.",4,06/10/2025 06:33:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Dani Setiawan,,4,06/09/2025 14:23:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,SYALWA Aline,"Tempat seru untuk ngajak keluarga berenang, bermain bersama
Fasilitas nya banyak
Perosotan nya banyak bervariasi masuk ke semua umur dari anak sampai dewasa
Terimakasih",5,06/09/2025 10:07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,suzanti nathalia,,4,06/06/2025 14:03:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Hera Sendrakasih,Pakai annual pass jadi worth banget bisa tiap bulan berenang ngajak anak udah happy banget,5,06/06/2025 10:31:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,ivan juli,,5,06/06/2025 09:27:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Muhamad Sidik Permana (Chupen),,5,06/05/2025 05:44:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Arif Syam,,5,06/04/2025 12:17:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Nur Edayu Sa'ari,"The worst waterpark in the world.. The worker scammed us by saying we need to rent the float in order to ride some of the slides. Surprisingly, none of the slides require the float. We return the float 10mins late and asked for the deposit back in return for the worker has been misguided(scammed) us. We went to the management and did the complained regarding the issues unfortunately we have been ignored. Overall, this is the worst experience ever for our family.",1,06/02/2025 09:55:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,WALDIN,,5,06/02/2025 08:20:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Ariel Shiva,,5,06/01/2025 08:14:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Hamba Alloh SWT,Tempat yang masih jadi Pav sejak saya kecil sampe sdh punya anak.. tp ya tidak ada yang spesial kec. paket anualpass😅,4,05/31/2025 19:06:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,LIS NURDIYANTI,Fun,5,05/30/2025 02:28:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Mamat Ucil,Ok,5,05/30/2025 01:55:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Inggan Aulia Firgyana,,4,05/27/2025 14:39:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Rininta Rachmanda,"Suka banget main ke Atlantis!
Ini pertama kalinya ajak anak ku ke waterpark, biasanya renang di hotel atau swimming pool kecil.
Selalu suka sama kebersihan Atlantis, dr area duduknya, ruang ganti nya, toiletnya, semua bersih 👍🏻
Favorit ku kolam arus & ombak ☺️
InsyaAllah bakal balik lagi utk bikin annual pass.",5,05/27/2025 13:21:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Kautsar,,5,05/27/2025 10:25:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,RAMDAN HABIBI,Memori yg tak terlupakan,5,05/26/2025 17:33:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Bagus Aditiya,Tempat Berenang favorit bersama keluarga. Pakai annual pass Lebih Hemat.,5,05/26/2025 14:23:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,wahyu kris,,5,05/26/2025 09:21:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Rizka Inodya,"swimmiing daayy… fasilitas lengkap, makan minum murah2, ada loker, toilet bilas bersih, mushola jg ada, apalagi wahananya banyak ada kolam ombak, kolam busa, seluncuran, ember tumpah, kolam arus… aaahh anak2 betaah, mamak masukangin haha…",5,05/24/2025 09:55:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,yati rosmiati,"Seruuu bgt, kolamnya banyak. Mushola ada 2 kalo ga salah, tempat bilas juga banyak ga terlalu ngantri karna weekday, anak2 betah berenang dr pagi sampe sore wkwk",5,05/24/2025 07:04:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Avando1000,,5,05/24/2025 04:27:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Nurdiansyah HMR,Sangat cocok utk rekreasi keluarga dan anak,5,05/22/2025 16:00:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Hanna Savarin,"Slides are nice but what they don't tell you is:
- In addition to the 121k IDR Atlantis ticket, you need to pay 38k IDR at the entrance of the Ancol park.
- Atlantis opens at 9am but the first slide really opens at 12pm, so not many things to do during 3 hours.",2,05/21/2025 08:16:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Listia Nur,,5,05/21/2025 06:56:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Alrazak Ristianto,,2,05/20/2025 20:30:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,hamoodh ام حمد,,3,05/19/2025 07:54:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Puji Lestari,,5,05/19/2025 07:14:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,ZiRo to Hero,,5,05/19/2025 00:33:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,DeWa 17,,5,05/15/2025 05:19:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Anna Safa,"Good fun experience with my friends but very expensive, had to pay for almost everything like borrowing pelampung, and renting lockers? Too expensive, tickets for entry and waterpark itself is expensive. Place is unkept, looks old.",3,05/14/2025 17:22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Titis Atika,"air kotor, lingkungan sedikit kotor, tempat sampah jarang. atlantis ini harus sering2 di renovasi agar wisatawan sekain banyak.",3,05/14/2025 08:23:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Dewi Rismawati,Ch,1,05/13/2025 14:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,RJ WARISMA Effendi,,5,05/13/2025 00:28:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Salman Alfarizi,Biasa aja,1,05/12/2025 13:32:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,indra klanajaya,,5,05/12/2025 09:27:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Usman Kosasih,Caur penjaganya liat orang² yg lain bawa makanan boleh giliran kita di sita makanan nya harus nya lebih adil nyesel saya masuk,1,05/12/2025 05:35:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,azis gabana,,5,05/11/2025 11:59:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Oriana Linares,Bawa uang tunai untuk membayar loker karena mereka tidak menerima metode pembayaran lainnya. Di dalam Anda dapat membayar makanan dan minuman dengan QR.,5,05/11/2025 08:43:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Liong Yenni,"Tempatnya termasuk luas dan bersih. Hanya untuk masuknya saya sampai bolak balik scan annual pass saya ke luar.. Hingga agak makan waktu yah.

Harus diperbaiki lagi sistem annual passnya..

Di dalam minuman makanan mahal2 sih. Udah gitu yang jual jutek😂
Dan banyak menu yang kosong alasannya tidak bisa mendadak. Lah 😂

Banyak pilihan wahana kolam dan cukup jelas petanya. Penjaga2nya juga sangat informatif jika ditanya.

Saran : di depan arah masuk toilet wanita banyak laki2 duduk dan bahkan ganti pakaian disana tidak ditegur, mohon lebih diperhatikan juga.

Dan ada anak2 yang hanya pakai celana dalam di dalam kolam, harusnya tidak bisa seperti itu demi kenyamanan bersama. 😊.

Semoga semakin berbenah dan banyak pengunjung",5,05/11/2025 06:46:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Muh Rafie,,3,05/11/2025 04:14:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,andri yusdianto,,5,05/11/2025 02:37:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,arwan efendi,,5,05/10/2025 05:00:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Maria Yudhitya,Happy,5,05/08/2025 21:21:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Diana Fatria,,5,05/08/2025 09:26:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Maryani,Sangat luar biasa,5,05/08/2025 06:49:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Namikaze Yonkazu,"Kolam renang yang cukup seru dan lengkap, dr kolam balita, anak anak sampai kolam dewasapun ada, sky box ckup nenantang ardenalin, wahana lainpun tidak kalah serunya, kolam ombaknya juga seru, atraksi dr crew juga seru banget, tempat istirahat dan makan dgn harga yang relatif untuk tempat wisata ada mushola yang nyaman juga, seluncuran buat anak juga seru banget org dewasa masih memungkinkan untuk berseluncur di kolam anak, mungkin tambahan buat pengelola agar menambahkan toilet/tempat ganti pakaian, karena masih sedikit, sering sering ada promo lagi, kalau lagi promo murah banget masuk cmn 50rban kapan lagi coba",5,05/07/2025 08:56:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Hilmi Gacha Official,Waterpark Terlaris Di Jakarta 👍,5,05/07/2025 06:47:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Dadan Ardiansyah,,5,05/06/2025 10:26:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Water Adventures Ancol,Jubahir Hambali,,5,05/06/2025 08:44:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
