name,author_title,review_text,,,,,,,,,,,,,,,,,,,,,,,review_rating,,review_datetime_utc,,,,,,,
Dufan,mimow,seruuuyy bangettt,,,,,,,,,,,,,,,,,,,,,,,5,,06/14/2025 00:10:09,,,,,,,
Dufan,Ria Feb,"Masih sama di Ancol tempat ramah anak,ya walau tetep parkir harus sigap dan cepat..hehehe
Jangan lupa bawa tikar,makanan dan air..baju ganti dan alat mandi..agar lebih memudahkan dan irit..",,,,,,,,,,,,,,,,,,,,,,,5,,06/10/2025 01:15:16,,,,,,,
Dufan,Lakim,,,,,,,,,,,,,,,,,,,,,,,,5,,06/09/2025 02:37:48,,,,,,,
Dufan,Natasha 09,"SERUUU BUANGEETT klo dr permainannya bagus² aku sukaa. Pertama kali naik kora-kora rasanya kyk mau mati tp okelah (gamau naik lagi.) Temenku main arum jerang BASAH KUYUP BANGET AHAHAHAH Makanan²nya okelah kecuali Roti O'nya. Aku pesen yg roti+eskrim vanilla coklat kan, yg vanila enak lah tp yg coklatnya ASEEEEMMM banget. Aneh bgt rasanya. Agak nyesel beli yg campur :') bonekanya lucu tp aku kismin jd ga beli",,,,,,,,,,,,,,,,,,,,,,,5,,06/04/2025 09:32:19,,,,,,,
Dufan,Anggario Niko,"Tempat bermain keluarga. Banyak tempat baru, beberapa di upgarde, tapi kondisi kolamnya kotor kotor",,,,,,,,,,,,,,,,,,,,,,,5,,05/28/2025 08:56:54,,,,,,,
Dufan,Hadji Helmi,"Tempat higienis, menu cukup komplit, makanan Sunda, untuk rasa enak, harga relatif murah atau sesuai lah, parkiran luas, mushola ada, pelayanan sangat ramah & kekeluargaan, kalo pulang dari Pandeglang lumayan sering mampir kesini.... Saran:untuk lebih menarik lampu kelap-kelip/lampu hias malam nya diperbanyak dan dihias seunik dan sesemarak mungkin,... menurut saya rumah makan ini recommended",,,,,,,,,,,,,,,,,,,,,,,4,,05/16/2025 15:34:50,,,,,,,
Dufan,kreator dakwah,,,,,,,,,,,,,,,,,,,,,,,,5,,05/11/2025 02:30:49,,,,,,,
Dufan,Ranaaa Ayuuu,Seharian di Dufan Ancol = healing+happy+teriak bareng bestie! Wahana-nya bikin jantung mau copot tapi seru banget! Definitely a core memory. Apa lgi sma Ice agenya seru bgt,,,,,,,,,,,,,,,,,,,,,,,5,,04/13/2025 08:30:06,,,,,,,
Dufan,Puput Prayuda,9:00 - 19:00,,,,,,,,,,,,,,,,,,,,,,,5,,04/10/2025 14:40:09,,,,,,,
Dufan,danu aryo,,,,,,,,,,,,,,,,,,,,,,,,5,,03/17/2025 10:25:59,,,,,,,
Dufan,Mila Jamilah,,,,,,,,,,,,,,,,,,,,,,,,5,,03/02/2025 00:44:59,,,,,,,
Dufan,Palang Parkir Surabaya (Rudy),Wahana perlu ditambah lagi,,,,,,,,,,,,,,,,,,,,,,,4,,02/24/2025 17:57:58,,,,,,,
Dufan,Rafif Gunawan,,,,,,,,,,,,,,,,,,,,,,,,5,,02/20/2025 03:01:51,,,,,,,
Dufan,DeeNa Arundina,,,,,,,,,,,,,,,,,,,,,,,,5,,02/16/2025 09:13:43,,,,,,,
Dufan,Elharentcar Subangcibogo,"Menyenangkan
My wife ku sampe kelelahan",,,,,,,,,,,,,,,,,,,,,,,5,,02/06/2025 05:07:34,,,,,,,
Dufan,Dafi Mahaputra,,,,,,,,,,,,,,,,,,,,,,,,5,,02/04/2025 05:17:38,,,,,,,
Dufan,riska mario,,,,,,,,,,,,,,,,,,,,,,,,5,,02/01/2025 04:20:49,,,,,,,
