name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Gunarwan Gunarwan,Rivertubing seru,5,04/12/2025 13:14:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Ririn Setyo Widihastutik,,5,04/12/2025 07:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Jogja Gojek,Teman pnkasman yg ngelola,5,03/15/2025 09:28:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Aldian Agung,Wisata watu kandang desa Pandean kecamatan dongko trenggalek.pemandangan yang bagus dan juga sungai yang bagus buat wisata arung jeram,5,02/14/2025 23:52:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Mey Sukanyoto,,4,01/16/2025 06:17:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Abdul,Kuli,4,12/10/2024 10:14:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Metyono Adi,,5,11/27/2024 05:06:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Choirul Umam,,3,11/14/2024 05:48:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Atika Aja,,5,06/29/2024 09:34:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Novie Talib,Aku kesini2 gara2 nnton sinden gaib gaes,5,06/22/2024 14:03:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Amron Nuskhi,,5,06/09/2024 13:42:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,BARAGJUNEDI BIN MALIG,,5,05/18/2024 04:03:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Sadi Moon,Abandoned.......hampir setiap wisata desa ramai pada awalnya saja.....banyak fasilitas yg tidak berfungsi......spot2 tertentu banyak yg lapuk rusak d makan rayap......perlu perawatan berkala....... pemandangan alam indah suasana sejuk segar sungai jernih dan alami..... mantap,5,05/15/2024 12:21:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Muh Rosyid Masruri,Tempat yg indah untuk d kunjungi,5,05/11/2024 03:31:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Cak Ikal,"Tempatnya bagus, sejuk, airnya jernih, tapi ketika habis hujan biasanya kecoklatan, aksesnya sudah bagus, aspalan, dekat bengkel jika memerlukan.",5,04/20/2024 07:18:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Yudi Buana,,5,04/13/2024 14:29:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Tmc 24,Akurat,5,03/31/2024 04:48:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Ruti Arisma,,5,03/03/2024 10:51:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Bright Fabric,Kesini gara gara film sinden gaib,5,02/22/2024 08:52:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,DADUNG PEDOT,,5,02/20/2024 04:35:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Kenyor Aja,,1,02/19/2024 16:44:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Rahma Vian,Juosss,5,02/04/2024 09:43:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Chanel Ndeso,Iya,5,01/31/2024 23:49:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,ZUHRIYAN CHILMI,"Tempat yang asyik, menarik, sejuk, asri",5,01/23/2024 05:17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Hasby Ashshiddiqy,La iki watune seng di filmne yo,5,01/13/2024 12:01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Yunik Kustianik,,5,01/08/2024 11:03:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,hari sulistyono,,5,01/07/2024 07:11:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Bhill Abhil,,5,01/03/2024 14:01:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,M30 SamsungGalaxy,,5,12/24/2023 06:06:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Ludiro Collection,,3,12/20/2023 11:40:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Andrea Sinatra,"Tempat keren, perlu perawatan terus menerus agar tempat ini lbh baik kedepannya",4,12/07/2023 11:02:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,ima Anggraini,,5,11/25/2023 07:53:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Sariyah Ismawati,Kren lah kk aku kan asli orang trenggalik dongko Pandean Kren mantap Monggo seng blm pernah kesitu cepat kunjungin desa trenggalik dongko panden,5,11/20/2023 13:15:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Pemdes Pandean,,4,11/10/2023 01:54:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Caunk Photo,desa yang merawat sungai dijadikan wisata,5,11/09/2023 01:54:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Yayan Panca22,,4,11/02/2023 22:20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Siroj Hasyim,Bagus ok,5,10/05/2023 03:55:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,Suharto Suharto,"Lumayan bagus,masyaratnya juga ramah2.",3,09/26/2023 17:48:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMAN WATU KANDANG,wong Galek,,5,09/23/2023 10:22:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
