name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Salim Soto ayam,"Dulu terkenal dg hutan mangrove, tp sekarang punah dan keliatan sepi pengunjung, tp nyaman utk outbond
Dengan warung makanan yg sangat terjangkau, juga tersedia tempat karaoke yg cukup utk melepaskan penat ..",5,06/01/2025 23:39:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,denny widjaja,,4,06/01/2025 02:42:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Fawzi Ramadhan,Sama seperti hutan mangrove lain nya,3,05/30/2025 15:29:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,septian chrisbayu,,5,05/20/2025 05:59:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,poetrawe studio,,5,05/18/2025 12:26:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Niaprima,"Kesini untuk kesekian kalinya, kadang kena tiket masuk kadang enggak (mintanya sih sumbangan yaaa)
Jadi kek kurang terurus, banyak kayu yg udah bolong hiks jadi takut buat lanjuttt
Jadi di cat warna warni, padahal warna kayu/coklat lebih indah dehhhh
Pengen naik perahu ternyata udah ga beroperasi hiks hiks

Tapi tetep indahhh, silakan mencobaaa karena ini unikkk💗",4,05/13/2025 12:06:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,davin_ saverio,,5,05/13/2025 00:54:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Yuwana Galih Wibawa,,5,05/04/2025 10:44:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Didik Suratno,,5,04/29/2025 12:39:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Najib Zamzami,,5,04/27/2025 07:25:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,WAHYU HARDHIANTO,,5,04/22/2025 12:35:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Raden Kicau 181,Bagus untuk di kunjungi,3,04/19/2025 20:34:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Habib Ansori,,5,04/17/2025 03:41:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutan Mangrove Pancer Cengkrong,Aldi Saputra,,4,04/15/2025 08:27:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
