name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,North Usa,I'm visited here after covid and this place really make me feel in Bali when I can't going to Bali in that time,5,06/08/2025 05:11:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Muhammad Halim,"Datang hari minggu jam 9pagi niat mau healing sama sarapan sama anak, tapi nasi tidak ada katane adane nunggu 1 jam,
Mau grab nasi ndak boleh .
Parah ini tempat ,",1,06/08/2025 02:05:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Nanik Geriati,"Banyak spot foto yg indah... Karyawan nya ramah2, menu makanan n minumnya variatif dan harga terjangkau playground nya luas aman untuk anak2.",5,06/07/2025 14:57:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Vieta_vanie 23 (vieta),"Tempat renang dan bermain indoor untuk anak.

Ada jual jajajnan dan minuman.
Harga wajar dan terjangkau..",4,06/05/2025 04:27:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Samsul Hadi,tempat yang nyaman untuk refreshing bersama teman atau keluarga,5,05/20/2025 15:41:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Daffa Vlog,pelayanan kurang cepat dan kurang fokus,1,05/15/2025 06:37:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Hidayatur Rohmah,,5,05/14/2025 13:50:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Asti Febrilia,"Fasilitas oke, baiknya ada qris untuk memudahkan pembayaran",5,05/12/2025 08:19:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Habib Azis,,5,05/10/2025 10:31:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,francisca elly,"Tempat main anak² dg harga terjangkau. Dewasa 10rb, anak 5rb, under 3 th free.
Tempatnya bernuansa Bali. Meski tidak begitu luas, tapi cukup lumayan lah dg harga yg dibayarkan. Kolamnya hanya beneran utk main air ya, klo yg mau berenang serius mungkin kurang.
Ada tenant² makanannya juga.
Persewaan baju renang dan pelampung, playground indoor jg ada tapi berbayar lagi.
So far, cukup baik. Tapi sayangnya tidak ada kebijakan no smoking disini padahal wahana anak². Bapak² yg nungguin anak pada ngerokok. Sangat disayangnkan krn tidak ada teguran ato mgkn memang diperbolehkan.",4,05/06/2025 08:22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,mahiswara grub,,5,04/30/2025 03:47:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Moch. Daffa Aryasyah,,5,04/23/2025 12:05:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Berusaha,,5,04/19/2025 23:13:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Mei Winarni,,5,04/11/2025 07:46:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Antic,,5,04/09/2025 16:55:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,Agus Salim,"Perlu memperhatikan masukan konsumen yang kasih bintang 1 seperti masalah parkir, alat bayar diperbanyak (debit,QRIS), yang ke restoran saja tidak perlu bayar tiket masuk, pelayanan dan kualitas makanan perlu ditingkatkan (info yg jelas,layanan perlu lebih ramah, otentik/roti bakar ya dibakar, sirup jeruk jg dibilang jus jeruk dll). Masukan masyarakat sekitar perlu diperhatikan. Review kritis (bintang 1-2) akun asli (review banyak dan bervariasi penilaian) kadang lebih bagus buat usaha daripada bintang 5 akun fake/ternakan yg punya 1 review. Btw, PHD edufarm bisa jadi pilihan wisata masyarakat yang sedang berada di Trenggalek, Tulungagung dan sekitarnya.",4,04/03/2025 22:52:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,septy ayuningtyas,,5,04/03/2025 08:01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD NUSANTARA (PHD EDUFARM) KAMPUNG BALI,sugi arto,"Lokasinya pinggir jalan gampang menemukannya
Adem asri
Kolam renang utk anak-anak dan playground juga ada
Utk rekreasi recomended pokoknya
Makanan juga baik",5,04/02/2025 03:49:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
