name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Erdana Nirwikara,,5,06/14/2025 05:18:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Dian Nofita,,4,06/13/2025 05:22:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),firman baguss,Mantaps serasa private beach,5,06/11/2025 11:27:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Ulul Azmi,"Pemandangan nya bagus, harga makanan dan minuman juga murah seperti, tapi akses jalan nya yang ekstrim, kalau mobil atau motor tidak fit jangan kesini, tapi kalau motor mobil prima bisa mudah",5,06/10/2025 11:44:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),muhamad nafhan,"Pantainya bagus, tapi sayang rutenya ektrim, fasilitas kamar mandi kurang. Cuma ada 3.",5,06/09/2025 12:31:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Henry Awe,"Pemandangan luar biasa bagus. Perpaduan sungai, muara, sawah, binatang kerbu. Makanan murah, tiketing murah sekali... Tapi sangat disayangkan akses ke sana sulit jalan kurang mendukung, terutama yg mengandalkan Google Map dijamin akan muter² gak karuan apalagi yg pakai setelan GM nya sepeda motor akan dimasukkan ke jalur² sempit, tanah dan semen, jalan sempit dan tanjakannya wooowww banget. Pokoknya andalkan TM saja (tanya manusia) wakakaka. Tapi pantainya saya jamin sangat Luar Biasa",5,06/09/2025 01:05:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Edy Winoto,,4,06/08/2025 15:31:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),duki Indrawan,Menarik,5,06/08/2025 04:05:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Nasher Rina,,5,06/05/2025 14:46:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),SULTON HASAN,,5,06/02/2025 23:23:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),tri laksono,,5,06/02/2025 14:51:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),437_Rijangwrawit Lesha,Nyaman,4,06/02/2025 14:06:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Lintang Fitri,"Indah banget, tiketnya murah
ada warung, ada sewa tenda",5,06/02/2025 06:56:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Rydho Adi putra,,5,06/02/2025 05:34:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),damar lestari,"Kontur jalan sudah sangat bagus, namun sangat curam di beberapa titik. Disarankan untuk memakai kendaraan bergigi (sangat tidak disarankan menggunakan matic karena rawan rem blong kampas panas)",5,06/01/2025 07:45:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Asyfiq Bangbang,,4,05/30/2025 18:48:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),AlPoi 17,,4,05/26/2025 07:28:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Melyana Rahmadani,,5,05/25/2025 12:46:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Lilatul NH,Kereen banget pantainya. Kayak di savana sumba. ada kandang kebo. Disitu kami sewa tenda. seharga 55rb sekalin jasa pasangnya. banyak warung dengan harga terjangkau. Pantai ya adem bgt. Definisi sungai laut bukit jadi satu. Sayang bgt kamar mandi dan wc hanya 3 unit. jalan menuju pantai kebo sangat extriiiim ngeri :( next kalau kesana lagi kata warlok lewat trenggalek kota lalu ke panggul. so far keren dan bikin betah.,5,05/25/2025 10:20:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),yanuar nabaghia,"Luar biasa sangat indah tempatnya
Petugasnya sangat ramah, orang2nya welcome.
Sangat nyaman sekali buat camping keluarga.",5,05/25/2025 10:18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),RAHAYU DEWI,"Tempatnya asik, jalan lumayan tracking. Bawa mobil HTM 50Ribu. Ada penyewaan tenda dan makanan disana harga terjangkau. Kalau nginap di camp atas ada stop kontak jadi bisa ngecas.",4,05/25/2025 05:54:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Ka Kayan,,5,05/23/2025 16:28:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai kerbau (kebo),Khozinatul Asror,,5,05/22/2025 13:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
