name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Adhe Arief Sofyan,Tebing lingga dekat selalu dengan rumah istri saya..,5,04/26/2025 18:52:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,sugianto Japung,,5,04/22/2025 23:19:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Geas Adventure,👍🏿👍🏿,5,01/05/2025 16:43:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Fajar Ipung,"Recomended untuk tempat bersantai melepas penat, oksigenya seger alami banget cuy, akses jalan ke lokasi juga sudah bagus , good views pokoknya hehe",5,01/03/2025 04:34:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Johan Jochems,Impressive stone monolith,5,01/02/2025 03:05:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Cak Pred,,5,11/30/2024 12:49:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,muttia St,Ngg sia² dateng jauh² kesiniii... sangat puas sekalii,5,09/29/2024 16:20:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Darwin Riyan,"Salah satu wisata pemandangan bukit/tebing. Hamparan tebing yang indah nan mengagumkan bagi pecinta alam. Jalan aksesnya agak kecil, tapi mobil seukuran pickup / truck box masih bisa masuk.",5,09/18/2024 10:04:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Dimas Saputra (DRS Q 80),"Padahal indah, sayang sudah tidak terurus dan rusak",2,09/03/2024 05:40:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,RBP Audio,,1,07/12/2024 06:13:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,argapawitra 1002,Sayang .. Jauh jauh dari mojokerto.... eh ternyata Tempat wisatanya terbengkalai.,5,07/04/2024 04:15:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,ababil subha,"Pemandangan bagus, lokasinya dibawah tebing yang menjulang tinggi",5,06/04/2024 15:49:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Galuh Nur aini,Jalannyaaa masyaallah,3,04/01/2024 10:40:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Rama Ardiansyah,,5,03/30/2024 03:52:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Fatkurohman Fatkurohman,,5,03/17/2024 01:43:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Farid Ahmad,,5,03/15/2024 11:41:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Monicha Ratnasari,Sebenarnya pemandangannya sangat baguss warung2 juga tertata tapi sudah tidak di operasi kan lagi sayang sekali..... Tempatnya dingin segar..... Anak saya aj betah dsni tapi ya itu udah ga beroperasi lagi... Harusnya jangan ad tiket masuk dulu kalau akses jalan aja minim dan pelayanan kurang baik. Jadi ber akhir seperti in (mungkin) soalnya pas jalan masuk nemu kaya pembayaran loket masuk. Jalan masuk cuma bisa dilewati 1 mobil presss,3,03/11/2024 21:12:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisata Tebing Lingga - WTL,Apri Handoko,,1,01/03/2024 14:00:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
